source_base,spec,variable,std_err,p_value,contrast,coef,direction,stars,sign_stars
mixed,spec_extended_1,high_court,0.2745915079614221,0.0964327677340433,contract_vs_mixed,-0.4564806914882958,raw,*,-*
mixed,spec_extended_1,high_court,0.2745915079614221,0.0964327677340433,mixed_vs_contract,0.4564806914882958,reversed,*,+*
mixed,spec_extended_1,high_court,0.1455055756448147,0.7918100795916984,expand_vs_mixed,-0.038407776690438,raw,,0
mixed,spec_extended_1,high_court,0.1455055756448147,0.7918100795916984,mixed_vs_expand,0.038407776690438,reversed,,0
mixed,spec_extended_1,j_ind_lag1,0.266830585774042,0.6046355666207217,contract_vs_mixed,0.1381504426205568,raw,,0
mixed,spec_extended_1,j_ind_lag1,0.266830585774042,0.6046355666207217,mixed_vs_contract,-0.1381504426205568,reversed,,0
mixed,spec_extended_1,j_ind_lag1,0.2037364722104923,0.0577963990727558,expand_vs_mixed,0.3865367849161945,raw,*,+*
mixed,spec_extended_1,j_ind_lag1,0.2037364722104923,0.0577963990727558,mixed_vs_expand,-0.3865367849161945,reversed,*,-*
mixed,spec_extended_1_spline,wdj_expression_lag1,0.4197346880585959,0.3658476882541279,contract_vs_mixed,0.3795570984685686,raw,,0
mixed,spec_extended_1_spline,wdj_expression_lag1,0.4197346880585959,0.3658476882541279,mixed_vs_contract,-0.3795570984685686,reversed,,0
mixed,spec_extended_1_spline,wdj_expression_lag1,0.2918038158067113,0.440621326369266,expand_vs_mixed,0.2250228880080146,raw,,0
mixed,spec_extended_1_spline,wdj_expression_lag1,0.2918038158067113,0.440621326369266,mixed_vs_expand,-0.2250228880080146,reversed,,0
mixed,spec_extended_1_spline,v2jureform_lag1,0.2379191423118515,0.5107662097029588,contract_vs_mixed,0.156466357240139,raw,,0
mixed,spec_extended_1_spline,v2jureform_lag1,0.2379191423118515,0.5107662097029588,mixed_vs_contract,-0.156466357240139,reversed,,0
mixed,spec_extended_1_spline,v2jureform_lag1,0.1798375835435358,0.2457837368310657,expand_vs_mixed,-0.2087287239548546,raw,,0
mixed,spec_extended_1_spline,v2jureform_lag1,0.1798375835435358,0.2457837368310657,mixed_vs_expand,0.2087287239548546,reversed,,0
mixed,spec_extended_1_spline,v2x_polyarchy_lag1,1.5333132577015405,0.003878156595478,contract_vs_mixed,-4.428064669789867,raw,***,-***
mixed,spec_extended_1_spline,v2x_polyarchy_lag1,1.5333132577015405,0.003878156595478,mixed_vs_contract,4.428064669789867,reversed,***,+***
mixed,spec_extended_1_spline,v2x_polyarchy_lag1,0.973447873515566,0.1974139883932223,expand_vs_mixed,-1.254729784239435,raw,,0
mixed,spec_extended_1_spline,v2x_polyarchy_lag1,0.973447873515566,0.1974139883932223,mixed_vs_expand,1.254729784239435,reversed,,0
mixed,spec_extended_1_spline,v2jureview_lag1,0.3611092314647047,0.3067794094266375,contract_vs_mixed,-0.3690547721284773,raw,,0
