spec,variable,contrast,coef_mean,coef_min,coef_max,std_err_mean,p_value_mean,n_versions,max_abs_diff,stars,coef_se
spec_base_1,v2jureform_lag1,contract_vs_expand,0.2119762932927631,0.2119762932927631,0.2119762932927631,0.15307163268538035,0.16610824330113994,2,0.0,,0.212 (0.153)
spec_base_1,v2jureform_lag1,contract_vs_mixed,0.02803425504472945,0.0280342550447294,0.0280342550447295,0.1796953527111565,0.8760252131511896,2,9.71445146547012e-17,,0.028 (0.180)
spec_base_1,v2jureform_lag1,expand_vs_mixed,-0.1839420382480336,-0.1839420382480336,-0.1839420382480336,0.1223337208182949,0.13268216798613613,2,0.0,,-0.184 (0.122)
spec_base_1,wdj_expression_lag1,contract_vs_expand,-0.1048224213986628,-0.1048224213986628,-0.1048224213986628,0.28097403088190864,0.7090978301079354,2,0.0,,-0.105 (0.281)
spec_base_1,wdj_expression_lag1,contract_vs_mixed,-0.17293970842768652,-0.1729397084276866,-0.1729397084276864,0.28862149767187245,0.5490448200002642,2,1.942890293094024e-16,,-0.173 (0.289)
spec_base_1,wdj_expression_lag1,expand_vs_mixed,-0.06811728702902345,-0.0681172870290237,-0.0681172870290232,0.18796995153146706,0.7170651574536564,2,4.996003610813204e-16,,-0.068 (0.188)
spec_base_2,v2jupoatck_lag1,contract_vs_expand,0.11900737195232655,0.1190073719523265,0.1190073719523266,0.1213137018649988,0.326598308856922,2,9.71445146547012e-17,,0.119 (0.121)
spec_base_2,v2jupoatck_lag1,contract_vs_mixed,-0.0215017620195012,-0.0215017620195013,-0.0215017620195011,0.14242066263672837,0.8799965309736941,2,2.0122792321330962e-16,,-0.022 (0.142)
spec_base_2,v2jupoatck_lag1,expand_vs_mixed,-0.14050913397182768,-0.1405091339718278,-0.1405091339718276,0.10459587665679329,0.1791578549594786,2,1.942890293094024e-16,,-0.141 (0.105)
spec_base_2,wdj_expression_lag1,contract_vs_expand,-0.04225865211483635,-0.0422586521148366,-0.0422586521148361,0.30859713964387536,0.8910798609894959,2,4.996003610813204e-16,,-0.042 (0.309)
spec_base_2,wdj_expression_lag1,contract_vs_mixed,-0.1831132473554367,-0.1831132473554372,-0.1831132473554362,0.3227688344560715,0.5704967235550451,2,9.992007221626409e-16,,-0.183 (0.323)
spec_base_2,wdj_expression_lag1,expand_vs_mixed,-0.1408545952406001,-0.1408545952406004,-0.1408545952405998,0.23718336680704882,0.5526032699230843,2,6.106226635438361e-16,,-0.141 (0.237)
spec_base_3,v2jupack_lag1,contract_vs_expand,-0.032215461324663755,-0.0322154613246639,-0.0322154613246636,0.16057505191580376,0.8409913625716801,2,2.983724378680108e-16,,-0.032 (0.161)
spec_base_3,v2jupack_lag1,contract_vs_mixed,-0.25596365193994297,-0.2559636519399431,-0.2559636519399429,0.19314970366168616,0.1851019676451201,2,1.6653345369377348e-16,,-0.256 (0.193)
spec_base_3,v2jupack_lag1,expand_vs_mixed,-0.2237481906152791,-0.2237481906152791,-0.2237481906152791,0.08770680666059574,0.0107385771699515,2,0.0,**,-0.224** (0.088)
spec_base_3,wdj_expression_lag1,contract_vs_expand,-0.0742993741781767,-0.0742993741781771,-0.0742993741781763,0.28703819125117186,0.795752218696143,2,8.049116928532385e-16,,-0.074 (0.287)
spec_base_3,wdj_expression_lag1,contract_vs_mixed,-0.06955182841739774,-0.0695518284173982,-0.0695518284173973,0.2870374095433271,0.8085405225865124,2,9.020562075079397e-16,,-0.070 (0.287)
spec_base_3,wdj_expression_lag1,expand_vs_mixed,0.0047475457607791,0.0047475457607787,0.0047475457607795,0.21416799448943497,0.9823144290829824,2,7.997075224253081e-16,,0.005 (0.214)
spec_c_attack,high_court,contract_vs_expand,-0.5534254653467274,-0.5534254653467275,-0.5534254653467272,0.27488408176138246,0.04408256449766805,2,3.3306690738754696e-16,**,-0.553** (0.275)
spec_c_attack,high_court,contract_vs_mixed,-0.5885631983408027,-0.5885631983408027,-0.5885631983408027,0.279329191293813,0.03511243097781405,2,0.0,**,-0.589** (0.279)
spec_c_attack,high_court,expand_vs_mixed,-0.0351377329940753,-0.0351377329940753,-0.0351377329940753,0.15236629814616498,0.8176150395579569,2,0.0,,-0.035 (0.152)
spec_c_attack,j_ind_lag1,contract_vs_expand,-0.14780703733588516,-0.1478070373358862,-0.1478070373358841,0.2711391091012797,0.5856616384864405,2,2.1094237467877974e-15,,-0.148 (0.271)
spec_c_attack,j_ind_lag1,contract_vs_mixed,0.24376764719429028,0.2437676471942876,0.243767647194293,0.24313588475106523,0.3160546717616931,2,5.412337245047638e-15,,0.244 (0.243)
