spec,variable,contrast,n_versions,sources,coef_min,coef_max,coef_mean,max_abs_diff,sign_patterns
spec_extended_2_spline_interact,j_ind_lag1,expand_vs_mixed,2,"expand, mixed",0.3607295454316921,0.3607295454318027,0.3607295454317474,1.1057821325266559e-13,+*
spec_extended_2_spline_interact,j_ind_lag1,mixed_vs_expand,2,"expand, mixed",-0.3607295454318027,-0.3607295454316921,-0.3607295454317474,1.1057821325266559e-13,-*
spec_extended_3_spline_interact,wdj_expression_lag1,contract_vs_mixed,2,"contract, mixed",0.5974517859874813,0.5974517859875874,0.5974517859875343,1.0613732115416497e-13,0
spec_extended_3_spline_interact,wdj_expression_lag1,mixed_vs_contract,2,"contract, mixed",-0.5974517859875874,-0.5974517859874813,-0.5974517859875343,1.0613732115416497e-13,0
spec_extended_3_spline_interact,wdj_expression_lag1,expand_vs_contract,2,"contract, expand",-0.2843921224928786,-0.2843921224927775,-0.2843921224928281,1.010858063921205e-13,0
spec_extended_3_spline_interact,wdj_expression_lag1,contract_vs_expand,2,"contract, expand",0.2843921224927775,0.2843921224928786,0.2843921224928281,1.010858063921205e-13,0
spec_extended_2_spline_interact,legal_common,mixed_vs_expand,2,"expand, mixed",1.4068619028194866,1.4068619028195877,1.406861902819537,1.0103029524088925e-13,+***
spec_extended_2_spline_interact,legal_common,expand_vs_mixed,2,"expand, mixed",-1.4068619028195877,-1.4068619028194866,-1.406861902819537,1.0103029524088925e-13,-***
spec_extended_1_spline_interact,j_ind_lag1,contract_vs_mixed,2,"contract, mixed",0.051766887889113,0.0517668878892137,0.05176688788916335,1.006972283335017e-13,0
spec_extended_1_spline_interact,j_ind_lag1,mixed_vs_contract,2,"contract, mixed",-0.0517668878892137,-0.051766887889113,-0.05176688788916335,1.006972283335017e-13,0
spec_extended_2_spline_interact,legal_civil,mixed_vs_contract,2,"contract, mixed",-0.166461047157399,-0.1664610471573128,-0.1664610471573559,8.62088178621434e-14,0
spec_extended_2_spline_interact,legal_civil,contract_vs_mixed,2,"contract, mixed",0.1664610471573128,0.166461047157399,0.1664610471573559,8.62088178621434e-14,0
spec_extended_2_spline_interact,j_ind_lag1,contract_vs_mixed,2,"contract, mixed",0.1345448607936652,0.1345448607937505,0.13454486079370787,8.529288386682765e-14,0
spec_extended_2_spline_interact,j_ind_lag1,mixed_vs_contract,2,"contract, mixed",-0.1345448607937505,-0.1345448607936652,-0.13454486079370787,8.529288386682765e-14,0
spec_extended_3,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",7.050933497459797,7.0509334974598765,7.0509334974598366,7.993605777301127e-14,+***
spec_extended_3,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-7.0509334974598765,-7.050933497459797,-7.0509334974598366,7.993605777301127e-14,-***
spec_extended_2_spline_interact,v2jureview_lag1,expand_vs_mixed,2,"expand, mixed",0.5356676527369019,0.535667652736981,0.5356676527369415,7.915890165577366e-14,0
spec_extended_2_spline_interact,v2jureview_lag1,mixed_vs_expand,2,"expand, mixed",-0.535667652736981,-0.5356676527369019,-0.5356676527369415,7.915890165577366e-14,0
spec_extended_2_spline_interact,legal_common,contract_vs_mixed,2,"contract, mixed",0.2885473960826571,0.2885473960827294,0.28854739608269325,7.227551890309769e-14,0
spec_extended_2_spline_interact,legal_common,mixed_vs_contract,2,"contract, mixed",-0.2885473960827294,-0.2885473960826571,-0.28854739608269325,7.227551890309769e-14,0
spec_im_pack,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-7.23192242194642,-7.231922421946352,-7.231922421946386,6.838973831690964e-14,-***
spec_im_pack,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",7.231922421946352,7.23192242194642,7.231922421946386,6.838973831690964e-14,+***
spec_im_attack,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",5.634564267949044,5.634564267949112,5.634564267949078,6.750155989720952e-14,+***
spec_im_attack,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-5.634564267949112,-5.634564267949044,-5.634564267949078,6.750155989720952e-14,-***
spec_extended_3,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-3.220782418479518,-3.220782418479451,-3.2207824184794847,6.705747068735946e-14,-**
spec_extended_3,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",3.220782418479451,3.220782418479518,3.2207824184794847,6.705747068735946e-14,+**
spec_c_pack,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",3.1192398796255976,3.1192398796256606,3.119239879625629,6.306066779870889e-14,+**
spec_c_pack,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-3.1192398796256606,-3.1192398796255976,-3.119239879625629,6.306066779870889e-14,-**
spec_p_pack,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-7.313539037425776,-7.313539037425714,-7.313539037425745,6.217248937900877e-14,-***
spec_p_pack,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",7.313539037425714,7.313539037425776,7.313539037425745,6.217248937900877e-14,+***
spec_extended_1_spline_interact,v2jureform_lag1,mixed_vs_contract,2,"contract, mixed",-0.2048699369247475,-0.2048699369246862,-0.20486993692471683,6.131206653492427e-14,0
spec_extended_1_spline_interact,v2jureform_lag1,contract_vs_mixed,2,"contract, mixed",0.2048699369246862,0.2048699369247475,0.20486993692471683,6.131206653492427e-14,0
spec_extended_3_spline_interact,wdj_expression_lag1,mixed_vs_expand,2,"expand, mixed",-0.3130596634945554,-0.3130596634944986,-0.31305966349452696,5.678790770957676e-14,0
spec_extended_3_spline_interact,wdj_expression_lag1,expand_vs_mixed,2,"expand, mixed",0.3130596634944986,0.3130596634945554,0.31305966349452696,5.678790770957676e-14,0
spec_extended_1_spline_interact,legal_civil,expand_vs_mixed,2,"expand, mixed",-0.3919558650760858,-0.3919558650760342,-0.39195586507606,5.162537064506978e-14,0
spec_extended_1_spline_interact,legal_civil,mixed_vs_expand,2,"expand, mixed",0.3919558650760342,0.3919558650760858,0.39195586507606,5.162537064506978e-14,0
spec_im_pack,v2x_polyarchy_lag1,mixed_vs_expand,2,"expand, mixed",3.354226700169749,3.3542267001698005,3.3542267001697748,5.1514348342607263e-14,+***
spec_im_pack,v2x_polyarchy_lag1,expand_vs_mixed,2,"expand, mixed",-3.3542267001698005,-3.354226700169749,-3.3542267001697748,5.1514348342607263e-14,-***
spec_extended_1_spline_interact,legal_civil,contract_vs_expand,2,"contract, expand",0.7241027717386053,0.7241027717386537,0.7241027717386295,4.8405723873656825e-14,+**
spec_extended_1_spline_interact,legal_civil,expand_vs_contract,2,"contract, expand",-0.7241027717386537,-0.7241027717386053,-0.7241027717386295,4.8405723873656825e-14,-**
spec_extended_2_spline,v2x_polyarchy_lag1,contract_vs_mixed,2,"contract, mixed",-4.894216736745731,-4.894216736745683,-4.894216736745707,4.796163466380676e-14,-***
spec_extended_2_spline,v2x_polyarchy_lag1,mixed_vs_contract,2,"contract, mixed",4.894216736745683,4.894216736745731,4.894216736745707,4.796163466380676e-14,+***
spec_extended_1_spline_interact,j_ind_lag1,expand_vs_contract,2,"contract, expand",0.3500186391250158,0.3500186391250606,0.35001863912503817,4.4797499043625066e-14,0
spec_extended_1_spline_interact,j_ind_lag1,contract_vs_expand,2,"contract, expand",-0.3500186391250606,-0.3500186391250158,-0.35001863912503817,4.4797499043625066e-14,0
