spec,variable,contract_vs_mixed,expand_vs_mixed,contract_vs_expand
spec_extended_3_spline_interact,v2jupack_lag1,+**,0,+**
spec_extended_3_spline_interact,v2jureview_lag1,0,0,-***
spec_extended_3_spline_interact,v2x_polyarchy_lag1,0,0,+*
spec_extended_3_spline_interact,wdj_expression_lag1,0,0,0
spec_govprot_attack,high_court,-*,0,-*
spec_govprot_attack,j_ind_lag1,0,0,0
spec_govprot_attack,legal_civil,0,0,0
spec_govprot_attack,legal_common,0,-***,+***
spec_govprot_attack,v2jupoatck_lag1,+**,0,+*
spec_govprot_attack,v2jureview_lag1,0,0,-**
spec_govprot_attack,v2x_polyarchy_lag1,-***,-**,-***
spec_govprot_attack,wdj_govprot_lag1,0,0,0
spec_govprot_attack_decision,high_court,-*,0,-*
spec_govprot_attack_decision,j_ind_lag1,0,+*,0
spec_govprot_attack_decision,legal_civil,0,0,0
spec_govprot_attack_decision,legal_common,0,-**,+***
spec_govprot_attack_decision,v2jupoatck_lag1,+**,0,0
spec_govprot_attack_decision,v2jureview_lag1,0,0,-*
spec_govprot_attack_decision,v2x_polyarchy_lag1,-***,-***,-***
spec_govprot_attack_decision,wdj_govprot_lag1,0,0,0
spec_govprot_pack,high_court,0,0,0
spec_govprot_pack,j_ind_lag1,0,0,0
spec_govprot_pack,legal_civil,0,0,0
spec_govprot_pack,legal_common,0,-***,+***
spec_govprot_pack,v2jupack_lag1,+**,0,0
spec_govprot_pack,v2jureview_lag1,0,0,-***
spec_govprot_pack,v2x_polyarchy_lag1,-***,-**,-***
spec_govprot_pack,wdj_govprot_lag1,0,0,0
spec_govprot_pack_decision,high_court,0,0,0
spec_govprot_pack_decision,j_ind_lag1,0,+*,0
spec_govprot_pack_decision,legal_civil,0,0,0
spec_govprot_pack_decision,legal_common,0,-**,+***
spec_govprot_pack_decision,v2jupack_lag1,+**,0,0
spec_govprot_pack_decision,v2jureview_lag1,0,0,-**
spec_govprot_pack_decision,v2x_polyarchy_lag1,-***,-**,-***
spec_govprot_pack_decision,wdj_govprot_lag1,0,0,0
spec_govprot_reform,high_court,0,0,0
spec_govprot_reform,j_ind_lag1,0,+*,0
spec_govprot_reform,legal_civil,0,0,+*
spec_govprot_reform,legal_common,0,-***,+***
spec_govprot_reform,v2jureform_lag1,0,0,+***
spec_govprot_reform,v2jureview_lag1,0,0,-**
spec_govprot_reform,v2x_polyarchy_lag1,-***,-*,-***
spec_govprot_reform,wdj_govprot_lag1,0,0,0
spec_govprot_reform_decision,high_court,0,0,0
spec_govprot_reform_decision,j_ind_lag1,0,+**,0
spec_govprot_reform_decision,legal_civil,0,0,0
spec_govprot_reform_decision,legal_common,0,-**,+***
spec_govprot_reform_decision,v2jureform_lag1,0,0,+***
spec_govprot_reform_decision,v2jureview_lag1,0,0,-**
spec_govprot_reform_decision,v2x_polyarchy_lag1,-***,-**,-***
spec_govprot_reform_decision,wdj_govprot_lag1,0,0,0
spec_im_attack,high_court,-**,0,-**
spec_im_attack,j_ind_lag1,0,+*,0
spec_im_attack,legal_civil,0,0,0
spec_im_attack,legal_common,0,-***,+***
spec_im_attack,v2jupoatck_lag1,0,0,0
spec_im_attack,v2jureview_lag1,0,0,-**
spec_im_attack,v2x_polyarchy_lag1,-***,-**,-***
spec_im_attack,wdj_intermediaries_lag1,0,0,0
spec_im_attack_decision,high_court,-*,0,-*
spec_im_attack_decision,j_ind_lag1,0,+**,0
spec_im_attack_decision,legal_civil,0,0,0
spec_im_attack_decision,legal_common,0,-**,+***
spec_im_attack_decision,v2jupoatck_lag1,+*,0,0
spec_im_attack_decision,v2jureview_lag1,0,0,-**
spec_im_attack_decision,v2x_polyarchy_lag1,-***,-***,-***
spec_im_attack_decision,wdj_intermediaries_lag1,0,0,0
spec_im_pack,high_court,0,0,-*
spec_im_pack,j_ind_lag1,0,+*,0
spec_im_pack,legal_civil,0,0,0
spec_im_pack,legal_common,0,-***,+***
spec_im_pack,v2jupack_lag1,+**,+*,0
spec_im_pack,v2jureview_lag1,0,0,-***
spec_im_pack,v2x_polyarchy_lag1,-***,-***,-***
spec_im_pack,wdj_intermediaries_lag1,0,0,0
spec_im_pack_decision,high_court,0,0,0
spec_im_pack_decision,j_ind_lag1,0,+**,0
spec_im_pack_decision,legal_civil,0,0,0
spec_im_pack_decision,legal_common,0,-**,+***
spec_im_pack_decision,v2jupack_lag1,+**,0,0
spec_im_pack_decision,v2jureview_lag1,0,0,-**
spec_im_pack_decision,v2x_polyarchy_lag1,-***,-***,-***
spec_im_pack_decision,wdj_intermediaries_lag1,0,0,0
spec_im_reform,high_court,0,0,0
spec_im_reform,j_ind_lag1,0,+**,0
spec_im_reform,legal_civil,0,0,0
spec_im_reform,legal_common,+*,-***,+***
spec_im_reform,v2jureform_lag1,0,0,+***
spec_im_reform,v2jureview_lag1,0,0,-***
spec_im_reform,v2x_polyarchy_lag1,-***,-**,-***
spec_im_reform,wdj_intermediaries_lag1,0,0,0
spec_im_reform_decision,high_court,0,0,0
spec_im_reform_decision,j_ind_lag1,0,+**,0
spec_im_reform_decision,legal_civil,0,0,0
spec_im_reform_decision,legal_common,0,-***,+***
spec_im_reform_decision,v2jureform_lag1,0,0,+**
spec_im_reform_decision,v2jureview_lag1,0,0,-**
spec_im_reform_decision,v2x_polyarchy_lag1,-***,-**,-***
spec_im_reform_decision,wdj_intermediaries_lag1,0,0,0
spec_p_attack,high_court,-**,0,-**
spec_p_attack,j_ind_lag1,0,+**,0
spec_p_attack,legal_civil,0,0,0
spec_p_attack,legal_common,+*,-***,+***
spec_p_attack,v2jupoatck_lag1,+*,0,0
spec_p_attack,v2jureview_lag1,0,0,-**
spec_p_attack,v2x_polyarchy_lag1,-***,-***,-***
spec_p_attack,wdj_press_lag1,+**,+***,0
spec_p_attack_decision,high_court,-*,0,-*
spec_p_attack_decision,j_ind_lag1,0,+**,0
spec_p_attack_decision,legal_civil,0,0,0
spec_p_attack_decision,legal_common,0,-**,+***
spec_p_attack_decision,v2jupoatck_lag1,+*,0,0
spec_p_attack_decision,v2jureview_lag1,0,0,-**
spec_p_attack_decision,v2x_polyarchy_lag1,-***,-***,-***
spec_p_attack_decision,wdj_press_lag1,+***,+*,+*
spec_p_pack,high_court,-*,0,-*
spec_p_pack,j_ind_lag1,0,+**,0
spec_p_pack,legal_civil,0,0,0
spec_p_pack,legal_common,+*,-***,+***
spec_p_pack,v2jupack_lag1,+**,0,0
spec_p_pack,v2jureview_lag1,0,0,-***
spec_p_pack,v2x_polyarchy_lag1,-***,-***,-***
spec_p_pack,wdj_press_lag1,+**,+**,0
spec_p_pack_decision,high_court,0,0,0
