variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se,source_base,source_base_label,outcome_short,base_short
v2jureform_lag1,-0.2087287239548546,Expands Expression,Expands Expression,0.1798375835435358,0.2457837368310657,spec_extended_1_spline,Mixed Outcome,,-0.209 (0.18),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-4.428064669789867,Contracts Expression,Contracts Expression,1.5333132577015405,0.003878156595478,spec_extended_1_spline,Mixed Outcome,***,-4.428*** (1.533),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-1.254729784239435,Expands Expression,Expands Expression,0.973447873515566,0.1974139883932223,spec_extended_1_spline,Mixed Outcome,,-1.255 (0.973),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.3690547721284773,Contracts Expression,Contracts Expression,0.3611092314647047,0.3067794094266375,spec_extended_1_spline,Mixed Outcome,,-0.369 (0.361),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.4145619168639405,Expands Expression,Expands Expression,0.3425987099628527,0.2262593178485661,spec_extended_1_spline,Mixed Outcome,,0.415 (0.343),mixed,Mixed Outcome,expand,mixed
legal_common,0.6355143528670925,Contracts Expression,Contracts Expression,0.5137731738395619,0.2161037484889059,spec_extended_1_spline,Mixed Outcome,,0.636 (0.514),mixed,Mixed Outcome,contract,mixed
legal_common,-1.5650622210712897,Expands Expression,Expands Expression,0.4274872146525459,0.0002511604401454,spec_extended_1_spline,Mixed Outcome,***,-1.565*** (0.427),mixed,Mixed Outcome,expand,mixed
legal_civil,0.2858330905301155,Contracts Expression,Contracts Expression,0.4497530120580778,0.5250805474536264,spec_extended_1_spline,Mixed Outcome,,0.286 (0.45),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.4091192511093551,Expands Expression,Expands Expression,0.3452536087273362,0.2360246333301056,spec_extended_1_spline,Mixed Outcome,,-0.409 (0.345),mixed,Mixed Outcome,expand,mixed
high_court,-0.4806523735736387,Contracts Expression,Contracts Expression,0.2776586607301857,0.0834355578539764,spec_extended_1_spline,Mixed Outcome,*,-0.481* (0.278),mixed,Mixed Outcome,contract,mixed
high_court,-0.2115726364239739,Expands Expression,Expands Expression,0.17542476846238,0.22779470780316,spec_extended_1_spline,Mixed Outcome,,-0.212 (0.175),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.0398901546335005,Contracts Expression,Contracts Expression,0.2805081353337461,0.8869166879747961,spec_extended_1_spline,Mixed Outcome,,0.04 (0.281),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3611727088407359,Expands Expression,Expands Expression,0.197775783202998,0.0678242728408657,spec_extended_1_spline,Mixed Outcome,*,0.361* (0.198),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,181.40385875094145,Contracts Expression,Contracts Expression,166.6334718934885,0.2763126810549347,spec_extended_1_spline_interact,Mixed Outcome,,181.404 (166.633),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,27.032713705019205,Expands Expression,Expands Expression,95.06784785548452,0.7761407926461186,spec_extended_1_spline_interact,Mixed Outcome,,27.033 (95.068),mixed,Mixed Outcome,expand,mixed
wdj_expression_lag1,0.5166472720905633,Contracts Expression,Contracts Expression,0.5072209400777763,0.3084003741364778,spec_extended_1_spline_interact,Mixed Outcome,,0.517 (0.507),mixed,Mixed Outcome,contract,mixed
wdj_expression_lag1,0.3909823949201088,Expands Expression,Expands Expression,0.3047759234549339,0.1995439413533,spec_extended_1_spline_interact,Mixed Outcome,,0.391 (0.305),mixed,Mixed Outcome,expand,mixed
v2jureform_lag1,0.2048699369247475,Contracts Expression,Contracts Expression,0.2332386179089116,0.3797426520244085,spec_extended_1_spline_interact,Mixed Outcome,,0.205 (0.233),mixed,Mixed Outcome,contract,mixed
