variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se,source_base,source_base_label,outcome_short,base_short
v2jureform_lag1,-0.18820307357783,Expands Expression,Expands Expression,0.1951040053605531,0.3347304324715398,spec_im_reform_decision,Mixed Outcome,,-0.188 (0.195),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-5.173108023653948,Contracts Expression,Contracts Expression,1.341744833258611,0.0001154895236448,spec_im_reform_decision,Mixed Outcome,***,-5.173*** (1.342),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-1.8232361369283987,Expands Expression,Expands Expression,0.8116496308992223,0.0246826243077865,spec_im_reform_decision,Mixed Outcome,**,-1.823** (0.812),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.3410076542925996,Contracts Expression,Contracts Expression,0.3583888586396976,0.3413496907815506,spec_im_reform_decision,Mixed Outcome,,-0.341 (0.358),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.2715007552750913,Expands Expression,Expands Expression,0.3567780661869775,0.4466693773283688,spec_im_reform_decision,Mixed Outcome,,0.272 (0.357),mixed,Mixed Outcome,expand,mixed
legal_common,0.7012504996195333,Contracts Expression,Contracts Expression,0.542808233906546,0.1963939840771503,spec_im_reform_decision,Mixed Outcome,,0.701 (0.543),mixed,Mixed Outcome,contract,mixed
legal_common,-1.1642768381756046,Expands Expression,Expands Expression,0.4352772742965476,0.0074775285092271,spec_im_reform_decision,Mixed Outcome,***,-1.164*** (0.435),mixed,Mixed Outcome,expand,mixed
legal_civil,0.1092210960231391,Contracts Expression,Contracts Expression,0.4838147053614776,0.8213959858657873,spec_im_reform_decision,Mixed Outcome,,0.109 (0.484),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.1343649528826298,Expands Expression,Expands Expression,0.3315302863487212,0.6852664775162511,spec_im_reform_decision,Mixed Outcome,,-0.134 (0.332),mixed,Mixed Outcome,expand,mixed
high_court,-0.4784993786373727,Contracts Expression,Contracts Expression,0.3123130461918871,0.1254941569025767,spec_im_reform_decision,Mixed Outcome,,-0.478 (0.312),mixed,Mixed Outcome,contract,mixed
high_court,-0.1133965883033406,Expands Expression,Expands Expression,0.1582004040856721,0.4735032122672336,spec_im_reform_decision,Mixed Outcome,,-0.113 (0.158),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.172120065162697,Contracts Expression,Contracts Expression,0.2434276464729863,0.4795237970561167,spec_im_reform_decision,Mixed Outcome,,0.172 (0.243),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3951345268282793,Expands Expression,Expands Expression,0.1770719398439071,0.0256485906152295,spec_im_reform_decision,Mixed Outcome,**,0.395** (0.177),mixed,Mixed Outcome,expand,mixed
wdj_press_lag1,1.547545442372197,Contracts Expression,Contracts Expression,0.4464538376229636,0.0005276631359513,spec_p_reform_decision,Mixed Outcome,***,1.548*** (0.446),mixed,Mixed Outcome,contract,mixed
wdj_press_lag1,0.7051819160263946,Expands Expression,Expands Expression,0.3367251375233494,0.036238959443632,spec_p_reform_decision,Mixed Outcome,**,0.705** (0.337),mixed,Mixed Outcome,expand,mixed
v2jureform_lag1,0.141946658581374,Contracts Expression,Contracts Expression,0.2492110296003666,0.5689597645575338,spec_p_reform_decision,Mixed Outcome,,0.142 (0.249),mixed,Mixed Outcome,contract,mixed
v2jureform_lag1,-0.1761039516982952,Expands Expression,Expands Expression,0.1921507102987003,0.3594106397146898,spec_p_reform_decision,Mixed Outcome,,-0.176 (0.192),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-5.543977636227105,Contracts Expression,Contracts Expression,1.1969757175335345,3.627556321739623e-06,spec_p_reform_decision,Mixed Outcome,***,-5.544*** (1.197),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-2.0701443387138605,Expands Expression,Expands Expression,0.788892221718714,0.0086874309209548,spec_p_reform_decision,Mixed Outcome,***,-2.07*** (0.789),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.3890045044888636,Contracts Expression,Contracts Expression,0.3687796292516971,0.2914972662620883,spec_p_reform_decision,Mixed Outcome,,-0.389 (0.369),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.2658749724820043,Expands Expression,Expands Expression,0.3520318510769382,0.4500940223227001,spec_p_reform_decision,Mixed Outcome,,0.266 (0.352),mixed,Mixed Outcome,expand,mixed
legal_common,0.8698469819359171,Contracts Expression,Contracts Expression,0.5089639409035793,0.087440902552485,spec_p_reform_decision,Mixed Outcome,*,0.87* (0.509),mixed,Mixed Outcome,contract,mixed
legal_common,-1.0267182038643674,Expands Expression,Expands Expression,0.4430198685160494,0.020474096352461,spec_p_reform_decision,Mixed Outcome,**,-1.027** (0.443),mixed,Mixed Outcome,expand,mixed
legal_civil,-0.0683731694916998,Contracts Expression,Contracts Expression,0.4431599693693222,0.8773846083312705,spec_p_reform_decision,Mixed Outcome,,-0.068 (0.443),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.3814110362231037,Expands Expression,Expands Expression,0.3069008941790559,0.2139480221294698,spec_p_reform_decision,Mixed Outcome,,-0.381 (0.307),mixed,Mixed Outcome,expand,mixed
high_court,-0.4919012070978267,Contracts Expression,Contracts Expression,0.3121528089857006,0.1150639186712804,spec_p_reform_decision,Mixed Outcome,,-0.492 (0.312),mixed,Mixed Outcome,contract,mixed
high_court,-0.1101322373450162,Expands Expression,Expands Expression,0.1567247705338443,0.4822358030335359,spec_p_reform_decision,Mixed Outcome,,-0.11 (0.157),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.1801274003889833,Contracts Expression,Contracts Expression,0.2270817773511496,0.4276455706966866,spec_p_reform_decision,Mixed Outcome,,0.18 (0.227),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.4055803518861418,Expands Expression,Expands Expression,0.1714257969727322,0.0179851516882157,spec_p_reform_decision,Mixed Outcome,**,0.406** (0.171),mixed,Mixed Outcome,expand,mixed
wdj_govprot_lag1,0.1780390607542512,Contracts Expression,Contracts Expression,0.3181617205661038,0.575761392753989,spec_govprot_reform_decision,Mixed Outcome,,0.178 (0.318),mixed,Mixed Outcome,contract,mixed
wdj_govprot_lag1,0.0488569170650777,Expands Expression,Expands Expression,0.2101913075442398,0.8161961009842962,spec_govprot_reform_decision,Mixed Outcome,,0.049 (0.21),mixed,Mixed Outcome,expand,mixed
v2jureform_lag1,0.1344140709062582,Contracts Expression,Contracts Expression,0.2589133724463639,0.6036583149992647,spec_govprot_reform_decision,Mixed Outcome,,0.134 (0.259),mixed,Mixed Outcome,contract,mixed
v2jureform_lag1,-0.1890891425981189,Expands Expression,Expands Expression,0.1973469683072311,0.337984200734271,spec_govprot_reform_decision,Mixed Outcome,,-0.189 (0.197),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-4.951340048716714,Contracts Expression,Contracts Expression,1.4103704102533334,0.0004469849107147,spec_govprot_reform_decision,Mixed Outcome,***,-4.951*** (1.41),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-1.7866356340564284,Expands Expression,Expands Expression,0.8872628745682156,0.0440464413836949,spec_govprot_reform_decision,Mixed Outcome,**,-1.787** (0.887),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.368912165918643,Contracts Expression,Contracts Expression,0.3659670738364649,0.3134316961084151,spec_govprot_reform_decision,Mixed Outcome,,-0.369 (0.366),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.2674772926219605,Expands Expression,Expands Expression,0.3515641070692761,0.4467640963609363,spec_govprot_reform_decision,Mixed Outcome,,0.267 (0.352),mixed,Mixed Outcome,expand,mixed
legal_common,0.6557074589241095,Contracts Expression,Contracts Expression,0.5329429083289374,0.2185652594066169,spec_govprot_reform_decision,Mixed Outcome,,0.656 (0.533),mixed,Mixed Outcome,contract,mixed
legal_common,-1.1080602680046805,Expands Expression,Expands Expression,0.4406106731134677,0.0119090306785136,spec_govprot_reform_decision,Mixed Outcome,**,-1.108** (0.441),mixed,Mixed Outcome,expand,mixed
legal_civil,0.0331279265204607,Contracts Expression,Contracts Expression,0.455769199732269,0.9420561876872444,spec_govprot_reform_decision,Mixed Outcome,,0.033 (0.456),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.314651165960395,Expands Expression,Expands Expression,0.2932949175471287,0.2833541614405462,spec_govprot_reform_decision,Mixed Outcome,,-0.315 (0.293),mixed,Mixed Outcome,expand,mixed
high_court,-0.4547408992771466,Contracts Expression,Contracts Expression,0.3001378387869915,0.129745344045192,spec_govprot_reform_decision,Mixed Outcome,,-0.455 (0.3),mixed,Mixed Outcome,contract,mixed
high_court,-0.0949095694839074,Expands Expression,Expands Expression,0.1478929976514308,0.5210388638026391,spec_govprot_reform_decision,Mixed Outcome,,-0.095 (0.148),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.1214033740275124,Contracts Expression,Contracts Expression,0.2684211908944885,0.6510623503507128,spec_govprot_reform_decision,Mixed Outcome,,0.121 (0.268),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3853164696018755,Expands Expression,Expands Expression,0.1950804531345923,0.0482492016993078,spec_govprot_reform_decision,Mixed Outcome,**,0.385** (0.195),mixed,Mixed Outcome,expand,mixed
wdj_citizen_lag1,0.7271011641823943,Contracts Expression,Contracts Expression,0.6197274609751958,0.2406917366118207,spec_c_pack_decision,Mixed Outcome,,0.727 (0.62),mixed,Mixed Outcome,contract,mixed
wdj_citizen_lag1,0.5036085764489752,Expands Expression,Expands Expression,0.3651685652553713,0.1678600336869401,spec_c_pack_decision,Mixed Outcome,,0.504 (0.365),mixed,Mixed Outcome,expand,mixed
v2jupack_lag1,0.4707470409144813,Contracts Expression,Contracts Expression,0.2578756647862167,0.067928525817818,spec_c_pack_decision,Mixed Outcome,*,0.471* (0.258),mixed,Mixed Outcome,contract,mixed
v2jupack_lag1,0.2503716330541212,Expands Expression,Expands Expression,0.2325002485236896,0.2815400952716079,spec_c_pack_decision,Mixed Outcome,,0.25 (0.233),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-6.844724873065056,Contracts Expression,Contracts Expression,1.7700152875843846,0.0001101630997203,spec_c_pack_decision,Mixed Outcome,***,-6.845*** (1.77),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-3.3161117357657086,Expands Expression,Expands Expression,1.2744095450039217,0.0092661051425655,spec_c_pack_decision,Mixed Outcome,***,-3.316*** (1.274),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.3964992076711761,Contracts Expression,Contracts Expression,0.3511474862516577,0.2588333324940129,spec_c_pack_decision,Mixed Outcome,,-0.396 (0.351),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.2983859763204367,Expands Expression,Expands Expression,0.3548879982131425,0.4004660697748611,spec_c_pack_decision,Mixed Outcome,,0.298 (0.355),mixed,Mixed Outcome,expand,mixed
legal_common,0.570069270904982,Contracts Expression,Contracts Expression,0.4955629402629906,0.2500010387870747,spec_c_pack_decision,Mixed Outcome,,0.57 (0.496),mixed,Mixed Outcome,contract,mixed
legal_common,-0.8880765308484299,Expands Expression,Expands Expression,0.3860174923193386,0.0214135639629688,spec_c_pack_decision,Mixed Outcome,**,-0.888** (0.386),mixed,Mixed Outcome,expand,mixed
legal_civil,0.0021670088708716,Contracts Expression,Contracts Expression,0.407607045304922,0.9957581332408044,spec_c_pack_decision,Mixed Outcome,,0.002 (0.408),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.1079968192713519,Expands Expression,Expands Expression,0.291000758814238,0.7105465743850149,spec_c_pack_decision,Mixed Outcome,,-0.108 (0.291),mixed,Mixed Outcome,expand,mixed
high_court,-0.4506148904731827,Contracts Expression,Contracts Expression,0.2965433945640837,0.1286220980248554,spec_c_pack_decision,Mixed Outcome,,-0.451 (0.297),mixed,Mixed Outcome,contract,mixed
high_court,-0.0525006046352021,Expands Expression,Expands Expression,0.1438661163169358,0.7151660318649877,spec_c_pack_decision,Mixed Outcome,,-0.053 (0.144),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.2402649399777525,Contracts Expression,Contracts Expression,0.2299845574247018,0.2961614984230682,spec_c_pack_decision,Mixed Outcome,,0.24 (0.23),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3951214485572611,Expands Expression,Expands Expression,0.1827755695168169,0.0306347673976298,spec_c_pack_decision,Mixed Outcome,**,0.395** (0.183),mixed,Mixed Outcome,expand,mixed
wdj_intermediaries_lag1,-0.0436925803841392,Contracts Expression,Contracts Expression,0.9364946634704616,0.9627878370297298,spec_im_pack_decision,Mixed Outcome,,-0.044 (0.936),mixed,Mixed Outcome,contract,mixed
wdj_intermediaries_lag1,-0.7897031304409047,Expands Expression,Expands Expression,0.510142599503648,0.1216211702452722,spec_im_pack_decision,Mixed Outcome,,-0.79 (0.51),mixed,Mixed Outcome,expand,mixed
v2jupack_lag1,0.5364016022978512,Contracts Expression,Contracts Expression,0.2540338731214265,0.0347262892945518,spec_im_pack_decision,Mixed Outcome,**,0.536** (0.254),mixed,Mixed Outcome,contract,mixed
v2jupack_lag1,0.3359513924791641,Expands Expression,Expands Expression,0.2168147210347144,0.1212649148630392,spec_im_pack_decision,Mixed Outcome,,0.336 (0.217),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-7.00704068569131,Contracts Expression,Contracts Expression,1.777758733878014,8.097275452025981e-05,spec_im_pack_decision,Mixed Outcome,***,-7.007*** (1.778),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-3.478212887780043,Expands Expression,Expands Expression,1.26643280268151,0.0060241382892738,spec_im_pack_decision,Mixed Outcome,***,-3.478*** (1.266),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.4157691340369382,Contracts Expression,Contracts Expression,0.3725402726701403,0.26440583096476,spec_im_pack_decision,Mixed Outcome,,-0.416 (0.373),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.2825109169985292,Expands Expression,Expands Expression,0.3632590760720846,0.4367388577584046,spec_im_pack_decision,Mixed Outcome,,0.283 (0.363),mixed,Mixed Outcome,expand,mixed
legal_common,0.5231276084078321,Contracts Expression,Contracts Expression,0.5150888028468995,0.3098167415931655,spec_im_pack_decision,Mixed Outcome,,0.523 (0.515),mixed,Mixed Outcome,contract,mixed
legal_common,-0.9903018628715216,Expands Expression,Expands Expression,0.4039475276321744,0.0142238214383266,spec_im_pack_decision,Mixed Outcome,**,-0.99** (0.404),mixed,Mixed Outcome,expand,mixed
legal_civil,0.260299764672553,Contracts Expression,Contracts Expression,0.4609249540976766,0.5722550415894061,spec_im_pack_decision,Mixed Outcome,,0.26 (0.461),mixed,Mixed Outcome,contract,mixed
legal_civil,0.2527268875878979,Expands Expression,Expands Expression,0.3441609103715382,0.4627490433606001,spec_im_pack_decision,Mixed Outcome,,0.253 (0.344),mixed,Mixed Outcome,expand,mixed
high_court,-0.4479286791904955,Contracts Expression,Contracts Expression,0.2944761506383307,0.1282338869360147,spec_im_pack_decision,Mixed Outcome,,-0.448 (0.294),mixed,Mixed Outcome,contract,mixed
high_court,-0.0533865637654496,Expands Expression,Expands Expression,0.1452049610242108,0.7131241620110453,spec_im_pack_decision,Mixed Outcome,,-0.053 (0.145),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.2142889490427584,Contracts Expression,Contracts Expression,0.2314038465819837,0.354425797372327,spec_im_pack_decision,Mixed Outcome,,0.214 (0.231),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.35885373895333,Expands Expression,Expands Expression,0.1727498017252529,0.0377735716253879,spec_im_pack_decision,Mixed Outcome,**,0.359** (0.173),mixed,Mixed Outcome,expand,mixed
wdj_press_lag1,1.3895984027560613,Contracts Expression,Contracts Expression,0.5606120121047355,0.0131855958100637,spec_p_pack_decision,Mixed Outcome,**,1.39** (0.561),mixed,Mixed Outcome,contract,mixed
wdj_press_lag1,0.6122283614825832,Expands Expression,Expands Expression,0.4168846433807872,0.1419468001730001,spec_p_pack_decision,Mixed Outcome,,0.612 (0.417),mixed,Mixed Outcome,expand,mixed
v2jupack_lag1,0.4612591835795783,Contracts Expression,Contracts Expression,0.2501668937004339,0.0652114389922622,spec_p_pack_decision,Mixed Outcome,*,0.461* (0.25),mixed,Mixed Outcome,contract,mixed
v2jupack_lag1,0.2551631844109456,Expands Expression,Expands Expression,0.2262821997857243,0.2594751146156334,spec_p_pack_decision,Mixed Outcome,,0.255 (0.226),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-7.108255340385185,Contracts Expression,Contracts Expression,1.6394875154552937,1.4532547823675574e-05,spec_p_pack_decision,Mixed Outcome,***,-7.108*** (1.639),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-3.435255951938387,Expands Expression,Expands Expression,1.1928780023789929,0.0039792129094254,spec_p_pack_decision,Mixed Outcome,***,-3.435*** (1.193),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.4437093316065223,Contracts Expression,Contracts Expression,0.3782876192687334,0.2408191768052395,spec_p_pack_decision,Mixed Outcome,,-0.444 (0.378),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.2906449407249557,Expands Expression,Expands Expression,0.3521594971822231,0.4091888690768764,spec_p_pack_decision,Mixed Outcome,,0.291 (0.352),mixed,Mixed Outcome,expand,mixed
legal_common,0.6771544867578287,Contracts Expression,Contracts Expression,0.4567053591750854,0.1381556183520005,spec_p_pack_decision,Mixed Outcome,,0.677 (0.457),mixed,Mixed Outcome,contract,mixed
legal_common,-0.863906694498161,Expands Expression,Expands Expression,0.3823950024273913,0.0238709622793644,spec_p_pack_decision,Mixed Outcome,**,-0.864** (0.382),mixed,Mixed Outcome,expand,mixed
legal_civil,0.0156550803433072,Contracts Expression,Contracts Expression,0.4080437017041087,0.969395721200225,spec_p_pack_decision,Mixed Outcome,,0.016 (0.408),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.0532336634579733,Expands Expression,Expands Expression,0.298871435368775,0.8586321950401914,spec_p_pack_decision,Mixed Outcome,,-0.053 (0.299),mixed,Mixed Outcome,expand,mixed
high_court,-0.4663222891955557,Contracts Expression,Contracts Expression,0.2994709342823836,0.1194339854555774,spec_p_pack_decision,Mixed Outcome,,-0.466 (0.299),mixed,Mixed Outcome,contract,mixed
high_court,-0.0584394003563613,Expands Expression,Expands Expression,0.1453244621589287,0.6875879786025585,spec_p_pack_decision,Mixed Outcome,,-0.058 (0.145),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.2397244506556484,Contracts Expression,Contracts Expression,0.2228753605813767,0.2821067639498544,spec_p_pack_decision,Mixed Outcome,,0.24 (0.223),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3863936100507139,Expands Expression,Expands Expression,0.1775741848053449,0.0295585519787146,spec_p_pack_decision,Mixed Outcome,**,0.386** (0.178),mixed,Mixed Outcome,expand,mixed
wdj_govprot_lag1,0.2219129101795245,Contracts Expression,Contracts Expression,0.2717804698663211,0.4142054800489876,spec_govprot_pack_decision,Mixed Outcome,,0.222 (0.272),mixed,Mixed Outcome,contract,mixed
wdj_govprot_lag1,0.0680387495943248,Expands Expression,Expands Expression,0.1794163195411608,0.7045224610679164,spec_govprot_pack_decision,Mixed Outcome,,0.068 (0.179),mixed,Mixed Outcome,expand,mixed
v2jupack_lag1,0.5298492814515693,Contracts Expression,Contracts Expression,0.2566474525012484,0.0389701066513593,spec_govprot_pack_decision,Mixed Outcome,**,0.53** (0.257),mixed,Mixed Outcome,contract,mixed
v2jupack_lag1,0.2966967323954896,Expands Expression,Expands Expression,0.2283606076179497,0.1938593297984527,spec_govprot_pack_decision,Mixed Outcome,,0.297 (0.228),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-6.776495040269953,Contracts Expression,Contracts Expression,1.8069470675985009,0.0001766615523883,spec_govprot_pack_decision,Mixed Outcome,***,-6.776*** (1.807),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-3.3305488421085263,Expands Expression,Expands Expression,1.3209723345227826,0.0116926826579073,spec_govprot_pack_decision,Mixed Outcome,**,-3.331** (1.321),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.4377374249435212,Contracts Expression,Contracts Expression,0.3768221601911442,0.2453755469058335,spec_govprot_pack_decision,Mixed Outcome,,-0.438 (0.377),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.2784864733289299,Expands Expression,Expands Expression,0.3521284193347752,0.4290220601342333,spec_govprot_pack_decision,Mixed Outcome,,0.278 (0.352),mixed,Mixed Outcome,expand,mixed
legal_common,0.4739915476326662,Contracts Expression,Contracts Expression,0.491298276627629,0.3346582822405031,spec_govprot_pack_decision,Mixed Outcome,,0.474 (0.491),mixed,Mixed Outcome,contract,mixed
legal_common,-0.9209324282252564,Expands Expression,Expands Expression,0.3876413557432606,0.0175141226745148,spec_govprot_pack_decision,Mixed Outcome,**,-0.921** (0.388),mixed,Mixed Outcome,expand,mixed
legal_civil,0.1341960362597175,Contracts Expression,Contracts Expression,0.4135686677521032,0.7455723279837511,spec_govprot_pack_decision,Mixed Outcome,,0.134 (0.414),mixed,Mixed Outcome,contract,mixed
legal_civil,0.019203059227321,Expands Expression,Expands Expression,0.2902784075061183,0.9472552700432496,spec_govprot_pack_decision,Mixed Outcome,,0.019 (0.29),mixed,Mixed Outcome,expand,mixed
high_court,-0.4098451275140911,Contracts Expression,Contracts Expression,0.2951654898621656,0.1649767574318903,spec_govprot_pack_decision,Mixed Outcome,,-0.41 (0.295),mixed,Mixed Outcome,contract,mixed
high_court,-0.0338064961622088,Expands Expression,Expands Expression,0.1380598944867874,0.8065583822567504,spec_govprot_pack_decision,Mixed Outcome,,-0.034 (0.138),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.1743421017664921,Contracts Expression,Contracts Expression,0.2583169912701339,0.4997295495206456,spec_govprot_pack_decision,Mixed Outcome,,0.174 (0.258),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3565773697307969,Expands Expression,Expands Expression,0.200089485370477,0.0747346387906906,spec_govprot_pack_decision,Mixed Outcome,*,0.357* (0.2),mixed,Mixed Outcome,expand,mixed
wdj_citizen_lag1,0.8428627170165112,Contracts Expression,Contracts Expression,0.6304516232193227,0.181249097119259,spec_c_attack_decision,Mixed Outcome,,0.843 (0.63),mixed,Mixed Outcome,contract,mixed
wdj_citizen_lag1,0.5690610876938279,Expands Expression,Expands Expression,0.3903325335204708,0.1448714372286011,spec_c_attack_decision,Mixed Outcome,,0.569 (0.39),mixed,Mixed Outcome,expand,mixed
v2jupoatck_lag1,0.1844061128817235,Contracts Expression,Contracts Expression,0.0984354889314663,0.0610172802970613,spec_c_attack_decision,Mixed Outcome,*,0.184* (0.098),mixed,Mixed Outcome,contract,mixed
v2jupoatck_lag1,0.0612365147521328,Expands Expression,Expands Expression,0.0816664908092715,0.4533531892484054,spec_c_attack_decision,Mixed Outcome,,0.061 (0.082),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-5.667771996252534,Contracts Expression,Contracts Expression,1.290914843118908,1.130861341704431e-05,spec_c_attack_decision,Mixed Outcome,***,-5.668*** (1.291),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-2.566361266341611,Expands Expression,Expands Expression,0.9158094520218418,0.0050741651752772,spec_c_attack_decision,Mixed Outcome,***,-2.566*** (0.916),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.2477668220787959,Contracts Expression,Contracts Expression,0.3330438094498739,0.4569087591926896,spec_c_attack_decision,Mixed Outcome,,-0.248 (0.333),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.3657734216911505,Expands Expression,Expands Expression,0.3639678984982268,0.314915790393804,spec_c_attack_decision,Mixed Outcome,,0.366 (0.364),mixed,Mixed Outcome,expand,mixed
legal_common,0.5680558260398505,Contracts Expression,Contracts Expression,0.4884498770464505,0.2448389560482373,spec_c_attack_decision,Mixed Outcome,,0.568 (0.488),mixed,Mixed Outcome,contract,mixed
legal_common,-0.8876713511818514,Expands Expression,Expands Expression,0.3780517003662322,0.018873722614238,spec_c_attack_decision,Mixed Outcome,**,-0.888** (0.378),mixed,Mixed Outcome,expand,mixed
legal_civil,-0.1513104772192698,Contracts Expression,Contracts Expression,0.3809644216663132,0.6912366104167744,spec_c_attack_decision,Mixed Outcome,,-0.151 (0.381),mixed,Mixed Outcome,contract,mixed
legal_civil,-0.220951966581009,Expands Expression,Expands Expression,0.2698042691639489,0.4128239069540788,spec_c_attack_decision,Mixed Outcome,,-0.221 (0.27),mixed,Mixed Outcome,expand,mixed
high_court,-0.5861151499210772,Contracts Expression,Contracts Expression,0.298942125573139,0.0499221024288352,spec_c_attack_decision,Mixed Outcome,**,-0.586** (0.299),mixed,Mixed Outcome,contract,mixed
high_court,-0.096251070085044,Expands Expression,Expands Expression,0.1515147021059175,0.525259543751585,spec_c_attack_decision,Mixed Outcome,,-0.096 (0.152),mixed,Mixed Outcome,expand,mixed
j_ind_lag1,0.2341730457434995,Contracts Expression,Contracts Expression,0.2251649643833163,0.2983368411691069,spec_c_attack_decision,Mixed Outcome,,0.234 (0.225),mixed,Mixed Outcome,contract,mixed
j_ind_lag1,0.3932995417865657,Expands Expression,Expands Expression,0.1788240820484972,0.0278519337204693,spec_c_attack_decision,Mixed Outcome,**,0.393** (0.179),mixed,Mixed Outcome,expand,mixed
wdj_intermediaries_lag1,0.1642863279898695,Contracts Expression,Contracts Expression,0.9362999785389108,0.8607155688446985,spec_im_attack_decision,Mixed Outcome,,0.164 (0.936),mixed,Mixed Outcome,contract,mixed
wdj_intermediaries_lag1,-0.6336627437939241,Expands Expression,Expands Expression,0.5128654730002032,0.2166318202533204,spec_im_attack_decision,Mixed Outcome,,-0.634 (0.513),mixed,Mixed Outcome,expand,mixed
v2jupoatck_lag1,0.1776400506688373,Contracts Expression,Contracts Expression,0.106065484351271,0.0939705598880032,spec_im_attack_decision,Mixed Outcome,*,0.178* (0.106),mixed,Mixed Outcome,contract,mixed
v2jupoatck_lag1,0.0574180976067396,Expands Expression,Expands Expression,0.0812612691313744,0.4798236195216073,spec_im_attack_decision,Mixed Outcome,,0.057 (0.081),mixed,Mixed Outcome,expand,mixed
v2x_polyarchy_lag1,-5.56931136724678,Contracts Expression,Contracts Expression,1.3688753557198072,4.73105345711372e-05,spec_im_attack_decision,Mixed Outcome,***,-5.569*** (1.369),mixed,Mixed Outcome,contract,mixed
v2x_polyarchy_lag1,-2.3958803608009056,Expands Expression,Expands Expression,0.9285099034552636,0.0098700276489908,spec_im_attack_decision,Mixed Outcome,***,-2.396*** (0.929),mixed,Mixed Outcome,expand,mixed
v2jureview_lag1,-0.2617716377048064,Contracts Expression,Contracts Expression,0.3558154086567955,0.461916297912546,spec_im_attack_decision,Mixed Outcome,,-0.262 (0.356),mixed,Mixed Outcome,contract,mixed
v2jureview_lag1,0.3600363789971252,Expands Expression,Expands Expression,0.3623059823861383,0.3203515709757062,spec_im_attack_decision,Mixed Outcome,,0.36 (0.362),mixed,Mixed Outcome,expand,mixed
legal_common,0.5241720556498456,Contracts Expression,Contracts Expression,0.4962670352316489,0.2908632168384771,spec_im_attack_decision,Mixed Outcome,,0.524 (0.496),mixed,Mixed Outcome,contract,mixed
legal_common,-0.9942856513004794,Expands Expression,Expands Expression,0.3864753923174134,0.0100908325259123,spec_im_attack_decision,Mixed Outcome,**,-0.994** (0.386),mixed,Mixed Outcome,expand,mixed
legal_civil,0.0638559170855599,Contracts Expression,Contracts Expression,0.4377108860793201,0.8840113354629024,spec_im_attack_decision,Mixed Outcome,,0.064 (0.438),mixed,Mixed Outcome,contract,mixed
