variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
"bs(year, df=4)[0]",-5.099439063108566,Expands Expression,Expands Expression,2.4515511684109073,0.03751757815921142,spec_extended_1_spline,Mixed Outcome,**,-5.099** (2.452)
"bs(year, df=4)[1]",4.25978188302679,Contracts Expression,Contracts Expression,0.7873419712734102,6.290782625696625e-08,spec_extended_1_spline,Mixed Outcome,***,4.26*** (0.787)
"bs(year, df=4)[1]",1.004876149068771,Expands Expression,Expands Expression,1.2106222664790833,0.40651091792290417,spec_extended_1_spline,Mixed Outcome,,1.005 (1.211)
"bs(year, df=4)[2]",3.5461075604257113,Contracts Expression,Contracts Expression,1.5462271685836781,0.021825352242950527,spec_extended_1_spline,Mixed Outcome,**,3.546** (1.546)
"bs(year, df=4)[2]",-1.1457267390411707,Expands Expression,Expands Expression,0.8695928523273093,0.18765638335026003,spec_extended_1_spline,Mixed Outcome,,-1.146 (0.87)
"bs(year, df=4)[3]",6.0792036129022655,Contracts Expression,Contracts Expression,2.0260302840927586,0.002694931846226068,spec_extended_1_spline,Mixed Outcome,***,6.079*** (2.026)
"bs(year, df=4)[3]",2.175044029449684,Expands Expression,Expands Expression,1.8618278148785163,0.24271380292465872,spec_extended_1_spline,Mixed Outcome,,2.175 (1.862)
wdj_expression_lag1,-0.15453421046055138,Contracts Expression,Contracts Expression,0.26692985223652044,0.5626351146530444,spec_extended_1_spline,Mixed Outcome,,-0.155 (0.267)
wdj_expression_lag1,-0.3795570984685646,Expands Expression,Expands Expression,0.4197346880588091,0.3658476882543765,spec_extended_1_spline,Mixed Outcome,,-0.38 (0.42)
v2jureform_lag1,-0.3651950811949923,Contracts Expression,Contracts Expression,0.11854118909206976,0.0020648395425495996,spec_extended_1_spline,Mixed Outcome,***,-0.365*** (0.119)
v2jureform_lag1,-0.15646635724013816,Expands Expression,Expands Expression,0.2379191423118476,0.5107662097029544,spec_extended_1_spline,Mixed Outcome,,-0.156 (0.238)
v2x_polyarchy_lag1,3.1733348855504184,Contracts Expression,Contracts Expression,1.233297213033892,0.010080676328584275,spec_extended_1_spline,Mixed Outcome,**,3.173** (1.233)
v2x_polyarchy_lag1,4.428064669789881,Expands Expression,Expands Expression,1.5333132577015074,0.003878156595477187,spec_extended_1_spline,Mixed Outcome,***,4.428*** (1.533)
v2jureview_lag1,0.7836166889924163,Contracts Expression,Contracts Expression,0.328559728410581,0.017078875953832038,spec_extended_1_spline,Mixed Outcome,**,0.784** (0.329)
v2jureview_lag1,0.36905477212847987,Expands Expression,Expands Expression,0.36110923146469665,0.3067794094266233,spec_extended_1_spline,Mixed Outcome,,0.369 (0.361)
legal_common,-2.2005765739383762,Contracts Expression,Contracts Expression,0.3749428598129982,4.381710896722055e-09,spec_extended_1_spline,Mixed Outcome,***,-2.201*** (0.375)
