spec,sample,high_court_value,n_obs,log_likelihood,aic,bic,pseudo_r2,base_category
spec_extended_4,high_court_1,1,296,-274.17705557431,580.35411114862,639.3998624178049,0.05235140436359509,Mixed Outcome
spec_extended_4,high_court_0,0,529,-471.0783587751449,974.1567175502898,1042.4925324600226,0.1435755514609912,Mixed Outcome
