row_id,case_id,indep1,indep2,attack1,attack2,attack3,attack4,attack5,dejure1,dejure2,dejure3,dejure4,dejure5,dejure6,full1,full2,full3,full4
68,Canada_2014_06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
69,Canada_2015_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
70,Canada_2016_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
71,Canada_2017_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
72,Canada_2018_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
73,Canada_2019_03,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
74,Canada_2020_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
75,Canada_2021_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
76,Canada_2023_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
77,Canada_2025_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
78,Chile_1996_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
79,Chile_2001_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
80,Chile_2005_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
81,Chile_2006_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
82,Chile_2007_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
83,Chile_2009_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
84,Chile_2010_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
85,Chile_2012_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
86,Chile_2013_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
87,Chile_2014_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
88,Chile_2015_01,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
89,Chile_2016_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
90,Chile_2017_01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
91,Chile_2018_02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
