,Intercept,"bs(year, df=4)[0]","bs(year, df=4)[1]","bs(year, df=4)[2]","bs(year, df=4)[3]",v2x_polyarchy_lag1,"bs(year, df=4)[0]:v2x_polyarchy_lag1","bs(year, df=4)[1]:v2x_polyarchy_lag1","bs(year, df=4)[2]:v2x_polyarchy_lag1","bs(year, df=4)[3]:v2x_polyarchy_lag1",wdj_expression_lag1,v2jupoatck_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
28,1.0,0.015275109184206161,0.21431473892989816,0.7703988038691744,0.0,0.376,0.005743441053261517,0.08058234183764171,0.28966995025480957,0.0,0.055555556,-1.186,1.826,0.0,0.0,0.0,-1.477
29,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.278,0.0032119585239512474,0.05314636470800972,0.22164128242445802,0.0,0.055555556,-1.267,1.826,0.0,0.0,0.0,-1.477
30,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.252,0.0006297376093294461,0.022740524781341104,0.21929640427599612,0.009333333333333332,0.055555556,-1.516,1.826,0.0,0.0,1.0,-1.089
32,1.0,0.024429111707718425,0.2570002104812512,0.71847989367726,0.0,0.677,0.016538508626125374,0.17398914249580708,0.486410888019505,0.0,0.981481481,-1.596,1.891,0.0,1.0,1.0,-1.328
34,1.0,0.10780340928605786,0.41332765389752335,0.47408149226211926,0.0,0.702,0.07567799331881261,0.29015601303606137,0.3328052075680077,0.0,0.0,2.422,1.874,0.0,0.0,0.0,1.949
36,1.0,0.029815292789976786,0.27658845383880104,0.6934189406099519,0.0,0.717,0.021377564930413356,0.19831392140242035,0.4971813804173355,0.0,0.0,2.422,1.874,0.0,0.0,0.0,1.949
37,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.69,0.005819450229071219,0.11509579341940855,0.56908475635152,0.0,0.0,2.422,1.874,0.0,0.0,1.0,1.279
38,1.0,0.0024989587671803413,0.09024017770373455,0.8702238264920481,0.037037037037037035,0.672,0.0016793002915451894,0.06064139941690962,0.5847904114026563,0.024888888888888887,0.0,2.422,1.874,0.0,0.0,0.0,1.67
39,1.0,0.0115538076401124,0.19117397376981912,0.7972708000879785,0.0,0.293,0.003385265638552933,0.056013974314557,0.23360034442577768,0.0,0.0,-1.026,-1.002,0.0,0.0,0.0,-1.156
40,1.0,0.008433985839233651,0.16680549770928776,0.8247605164514784,0.0,0.291,0.0024542898792169923,0.048540399833402734,0.2400053102873802,0.0,0.0,-1.026,-1.002,0.0,0.0,0.0,-1.156
41,1.0,0.00592345781850155,0.14134028516924532,0.8513645148997703,0.0013717421124828531,0.275,0.0016289509000879266,0.03886857842154247,0.23412524159743683,0.00037722908093278465,0.0,-1.026,-1.002,0.0,0.0,0.0,-1.156
45,1.0,0.003968253968253968,0.11552028218694886,0.8695375269449344,0.010973936899862825,0.298,0.0011825396825396824,0.03442504409171076,0.25912218302959045,0.0032702331961591215,-0.111111111,1.234,-0.667,0.0,0.0,1.0,-1.515
