,Intercept,wdj_citizen_lag1,v2jupoatck_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
0,1.0,0.0,0.995,0.29,1.462,0.0,1.0,0.0,0.217
1,1.0,0.0,0.995,0.29,1.462,0.0,1.0,0.0,0.217
2,1.0,0.0,0.818,0.89,1.835,1.0,0.0,1.0,3.037
3,1.0,0.0,0.64,0.882,1.835,1.0,0.0,0.0,3.014
4,1.0,0.0,1.174,0.879,1.835,1.0,0.0,0.0,3.014
5,1.0,0.0,1.299,0.889,1.835,1.0,0.0,1.0,3.037
6,1.0,0.0,1.299,0.896,1.835,1.0,0.0,0.0,3.014
7,1.0,0.0,1.307,0.896,1.835,1.0,0.0,1.0,3.366
8,1.0,0.0,1.237,0.862,1.835,1.0,0.0,0.0,3.014
9,1.0,0.0,1.237,0.855,1.835,1.0,0.0,1.0,2.528
10,1.0,0.0,1.191,0.871,1.835,1.0,0.0,1.0,3.279
11,1.0,0.0,1.357,0.871,1.835,1.0,0.0,0.0,3.014
12,1.0,0.944444444,1.68,0.86,1.835,1.0,0.0,0.0,3.014
13,1.0,0.0,1.68,0.825,1.835,1.0,0.0,0.0,3.014
14,1.0,0.0,1.68,0.837,1.835,1.0,0.0,1.0,3.279
15,1.0,0.0,1.68,0.828,1.835,1.0,0.0,0.0,3.014
16,1.0,0.0,1.965,0.846,1.835,1.0,0.0,0.0,3.014
18,1.0,0.0,1.965,0.848,1.835,1.0,0.0,0.0,3.014
23,1.0,0.0,1.54,0.193,0.855,0.0,1.0,1.0,-2.345
28,1.0,0.055555556,-1.186,0.376,1.826,0.0,0.0,0.0,-1.477
29,1.0,0.055555556,-1.267,0.278,1.826,0.0,0.0,0.0,-1.477
30,1.0,0.055555556,-1.516,0.252,1.826,0.0,0.0,1.0,-1.089
32,1.0,0.981481481,-1.596,0.677,1.891,0.0,1.0,1.0,-1.328
34,1.0,0.0,2.422,0.702,1.874,0.0,0.0,0.0,1.949
36,1.0,0.0,2.422,0.717,1.874,0.0,0.0,0.0,1.949
37,1.0,0.0,2.422,0.69,1.874,0.0,0.0,1.0,1.279
38,1.0,0.0,2.422,0.672,1.874,0.0,0.0,0.0,1.67
39,1.0,0.0,-1.026,0.293,-1.002,0.0,0.0,0.0,-1.156
40,1.0,0.0,-1.026,0.291,-1.002,0.0,0.0,0.0,-1.156
41,1.0,0.0,-1.026,0.275,-1.002,0.0,0.0,0.0,-1.156
45,1.0,-0.111111111,1.234,0.298,-0.667,0.0,0.0,1.0,-1.515
47,1.0,0.0,1.033,0.835,1.901,1.0,0.0,1.0,2.199
48,1.0,0.0,1.033,0.833,1.901,1.0,0.0,1.0,2.199
49,1.0,0.0,1.033,0.833,1.901,1.0,0.0,1.0,2.199
50,1.0,0.0,1.033,0.832,1.901,1.0,0.0,1.0,2.199
51,1.0,0.0,1.033,0.842,1.901,1.0,0.0,1.0,2.199
52,1.0,0.0,1.033,0.842,1.901,1.0,0.0,1.0,2.199
53,1.0,0.0,1.033,0.846,1.901,1.0,0.0,1.0,2.199
54,1.0,0.0,1.033,0.84,1.901,1.0,0.0,1.0,2.199
55,1.0,0.0,1.033,0.836,1.901,1.0,0.0,0.0,2.289
56,1.0,0.0,1.033,0.832,1.901,1.0,0.0,1.0,2.199
57,1.0,0.0,1.033,0.825,1.901,1.0,0.0,1.0,2.199
58,1.0,0.0,1.033,0.825,1.901,1.0,0.0,0.0,2.289
59,1.0,0.0,1.033,0.824,1.901,1.0,0.0,0.0,2.289
60,1.0,0.0,1.033,0.83,1.901,1.0,0.0,0.0,2.289
61,1.0,0.0,1.033,0.832,1.901,1.0,0.0,1.0,2.199
62,1.0,0.0,1.033,0.827,1.901,1.0,0.0,1.0,2.199
63,1.0,0.0,1.033,0.826,1.901,1.0,0.0,0.0,2.289
64,1.0,0.0,1.201,0.826,1.901,1.0,0.0,1.0,2.199
65,1.0,0.0,0.951,0.811,1.901,1.0,0.0,1.0,2.199
66,1.0,0.0,0.745,0.81,1.901,1.0,0.0,0.0,2.289
67,1.0,0.0,0.857,0.817,1.901,1.0,0.0,1.0,2.199
68,1.0,0.0,0.406,0.814,1.901,1.0,0.0,0.0,2.289
69,1.0,0.0,1.343,0.807,1.901,1.0,0.0,0.0,2.289
70,1.0,0.0,1.507,0.834,1.901,1.0,0.0,0.0,2.289
71,1.0,0.0,2.007,0.839,1.901,1.0,0.0,1.0,2.199
72,1.0,0.777777778,1.471,0.84,1.901,1.0,0.0,1.0,2.199
73,1.0,0.777777778,1.471,0.85,1.901,1.0,0.0,1.0,2.199
