,Intercept,wdj_expression_lag1,v2jupack_lag1
209,1.0,0.0,-1.24
210,1.0,0.0,1.066
211,1.0,0.0,1.19
212,1.0,0.0,0.746
213,1.0,0.0,0.746
214,1.0,0.0,1.228
215,1.0,0.0,1.398
216,1.0,0.0,1.398
217,1.0,0.736111111,0.312
218,1.0,0.736111111,-0.493
219,1.0,0.0,-0.996
220,1.0,0.0,0.119
221,1.0,0.0,0.207
222,1.0,0.0,0.388
223,1.0,0.0,0.17
224,1.0,0.533333333,0.428
225,1.0,0.533333333,0.428
226,1.0,0.359477124,0.181
227,1.0,0.579365079,1.769
228,1.0,0.583979328,1.769
229,1.0,0.583979328,1.769
230,1.0,0.55308642,1.769
231,1.0,0.55308642,1.769
232,1.0,0.55308642,1.769
233,1.0,0.55308642,0.036
234,1.0,0.559178744,-0.157
235,1.0,0.559178744,-0.373
236,1.0,0.559178744,-1.0
237,1.0,0.449074074,-1.159
238,1.0,0.449074074,-1.149
239,1.0,0.259259259,-1.056
240,1.0,0.450292398,1.636
241,1.0,0.0,-1.621
242,1.0,0.0,-1.621
243,1.0,0.555555556,-1.4
244,1.0,0.0,1.673
245,1.0,0.0,1.673
246,1.0,0.0,1.673
247,1.0,0.305555556,1.673
248,1.0,0.305555556,1.673
249,1.0,0.458333333,1.257
250,1.0,0.0,0.305
251,1.0,0.0,1.37
252,1.0,0.0,1.37
253,1.0,0.0,1.37
254,1.0,0.0,1.37
255,1.0,0.0,1.37
256,1.0,0.0,1.37
257,1.0,0.0,1.37
258,1.0,0.0,1.37
259,1.0,0.0,1.37
260,1.0,0.0,1.37
261,1.0,0.0,1.37
262,1.0,0.0,1.37
263,1.0,0.0,1.37
264,1.0,0.0,1.37
265,1.0,0.0,1.355
266,1.0,0.0,1.355
267,1.0,0.0,1.355
268,1.0,0.0,1.355
269,1.0,0.0,1.355
270,1.0,0.0,1.355
271,1.0,0.0,1.355
272,1.0,0.402777778,1.355
273,1.0,0.402777778,1.355
274,1.0,0.402777778,1.355
275,1.0,0.402777778,1.355
276,1.0,0.0,-0.607
277,1.0,0.0,1.243
278,1.0,0.0,1.576
279,1.0,0.0,1.576
280,1.0,0.0,0.426
281,1.0,0.0,1.633
282,1.0,0.0,1.373
283,1.0,0.678571429,1.373
284,1.0,0.678571429,1.373
285,1.0,0.0,-0.237
286,1.0,0.0,-0.237
287,1.0,0.0,-0.237
288,1.0,0.0,-0.237
289,1.0,0.0,0.591
290,1.0,0.0,0.591
291,1.0,0.0,0.489
292,1.0,0.0,0.489
293,1.0,0.0,-1.132
294,1.0,0.0,-1.857
295,1.0,0.0,-1.857
296,1.0,0.0,-1.857
297,1.0,0.0,-1.857
298,1.0,0.0,-0.903
299,1.0,0.0,-0.903
300,1.0,0.0,-0.903
301,1.0,0.0,-0.903
302,1.0,0.0,-1.269
303,1.0,0.0,-1.462
304,1.0,0.0,-1.433
305,1.0,0.0,-1.654
306,1.0,0.0,-2.1
307,1.0,0.0,-3.131
308,1.0,0.0,-3.131
309,1.0,0.0,-2.094
310,1.0,0.619047619,-1.736
311,1.0,0.619047619,-1.519
312,1.0,0.619047619,-1.519
313,1.0,0.619047619,-1.519
314,1.0,0.0,-0.813
315,1.0,0.0,-1.096
316,1.0,0.0,-0.944
317,1.0,0.0,-0.987
318,1.0,0.0,-0.798
319,1.0,0.0,-0.748
320,1.0,0.0,-1.002
321,1.0,0.755555556,-0.835
322,1.0,0.0,1.066
323,1.0,0.0,1.066
324,1.0,0.0,1.087
325,1.0,0.0,1.087
326,1.0,0.0,1.087
327,1.0,0.0,1.087
328,1.0,0.0,1.087
329,1.0,0.0,1.087
330,1.0,0.0,1.087
331,1.0,0.0,1.087
332,1.0,0.0,1.087
333,1.0,0.0,1.087
334,1.0,0.0,1.087
335,1.0,0.0,1.751
336,1.0,0.0,1.751
337,1.0,0.0,1.751
338,1.0,0.0,1.751
339,1.0,0.0,1.751
340,1.0,0.0,1.191
341,1.0,0.0,1.191
342,1.0,0.0,1.191
343,1.0,0.0,2.157
344,1.0,0.0,2.157
345,1.0,0.0,2.157
346,1.0,0.0,2.157
347,1.0,0.0,2.157
348,1.0,0.0,2.157
349,1.0,0.0,2.157
350,1.0,0.0,2.157
351,1.0,0.0,2.157
352,1.0,0.0,2.157
353,1.0,0.0,2.157
354,1.0,0.0,2.157
355,1.0,-0.666666667,2.157
356,1.0,-0.666666667,2.157
357,1.0,0.0,2.157
358,1.0,0.0,2.157
359,1.0,0.0,2.157
360,1.0,0.0,2.157
361,1.0,0.0,2.157
362,1.0,0.0,2.157
363,1.0,0.0,2.157
364,1.0,0.0,2.157
365,1.0,0.0,2.157
366,1.0,0.0,2.157
367,1.0,0.0,2.157
368,1.0,0.0,2.157
369,1.0,0.0,2.157
370,1.0,0.0,2.157
371,1.0,0.0,2.157
372,1.0,0.0,2.157
373,1.0,1.0,1.733
374,1.0,1.0,1.733
375,1.0,1.0,1.733
