variable,coef,class_label,outcome,std_err,p_value,spec,base_category,stars,coef_se
"bs(year, df=4)[0]",11.42238840897185,Expands Expression,Expands Expression,1.805349072043628,2.500228453513973e-10,spec_extended_1_spline,Mixed Outcome,***,11.422*** (1.805)
"bs(year, df=4)[1]",-1.0048761490687739,Contracts Expression,Contracts Expression,1.2106222664798767,0.40651091792321037,spec_extended_1_spline,Mixed Outcome,,-1.005 (1.211)
"bs(year, df=4)[1]",3.2549057339581156,Expands Expression,Expands Expression,1.049333121853531,0.0019229569992847786,spec_extended_1_spline,Mixed Outcome,***,3.255*** (1.049)
"bs(year, df=4)[2]",1.1457267390411336,Contracts Expression,Contracts Expression,0.8695928523235442,0.18765638334836354,spec_extended_1_spline,Mixed Outcome,,1.146 (0.87)
"bs(year, df=4)[2]",4.691834299466998,Expands Expression,Expands Expression,0.956760252314296,9.396348843176585e-07,spec_extended_1_spline,Mixed Outcome,***,4.692*** (0.957)
"bs(year, df=4)[3]",-2.1750440294497113,Contracts Expression,Contracts Expression,1.8618278148717171,0.24271380292293243,spec_extended_1_spline,Mixed Outcome,,-2.175 (1.862)
"bs(year, df=4)[3]",3.9041595834526923,Expands Expression,Expands Expression,0.8344484220858485,2.8865604091552432e-06,spec_extended_1_spline,Mixed Outcome,***,3.904*** (0.834)
wdj_expression_lag1,0.37955709846856867,Contracts Expression,Contracts Expression,0.41973468805859593,0.36584768825412795,spec_extended_1_spline,Mixed Outcome,,0.38 (0.42)
wdj_expression_lag1,0.22502288800801462,Expands Expression,Expands Expression,0.29180381580671133,0.440621326369266,spec_extended_1_spline,Mixed Outcome,,0.225 (0.292)
v2jureform_lag1,0.15646635724013908,Contracts Expression,Contracts Expression,0.23791914231185154,0.5107662097029588,spec_extended_1_spline,Mixed Outcome,,0.156 (0.238)
v2jureform_lag1,-0.2087287239548546,Expands Expression,Expands Expression,0.17983758354353582,0.2457837368310657,spec_extended_1_spline,Mixed Outcome,,-0.209 (0.18)
v2x_polyarchy_lag1,-4.428064669789867,Contracts Expression,Contracts Expression,1.5333132577015403,0.003878156595478062,spec_extended_1_spline,Mixed Outcome,***,-4.428*** (1.533)
v2x_polyarchy_lag1,-1.254729784239435,Expands Expression,Expands Expression,0.973447873515566,0.19741398839322233,spec_extended_1_spline,Mixed Outcome,,-1.255 (0.973)
v2jureview_lag1,-0.3690547721284773,Contracts Expression,Contracts Expression,0.36110923146470475,0.3067794094266375,spec_extended_1_spline,Mixed Outcome,,-0.369 (0.361)
v2jureview_lag1,0.41456191686394056,Expands Expression,Expands Expression,0.3425987099628527,0.22625931784856612,spec_extended_1_spline,Mixed Outcome,,0.415 (0.343)
legal_common,0.6355143528670925,Contracts Expression,Contracts Expression,0.5137731738395619,0.2161037484889059,spec_extended_1_spline,Mixed Outcome,,0.636 (0.514)
legal_common,-1.5650622210712897,Expands Expression,Expands Expression,0.4274872146525459,0.0002511604401454493,spec_extended_1_spline,Mixed Outcome,***,-1.565*** (0.427)
legal_civil,0.2858330905301155,Contracts Expression,Contracts Expression,0.44975301205807783,0.5250805474536264,spec_extended_1_spline,Mixed Outcome,,0.286 (0.45)
legal_civil,-0.40911925110935515,Expands Expression,Expands Expression,0.3452536087273362,0.2360246333301056,spec_extended_1_spline,Mixed Outcome,,-0.409 (0.345)
high_court,-0.4806523735736387,Contracts Expression,Contracts Expression,0.2776586607301857,0.08343555785397642,spec_extended_1_spline,Mixed Outcome,*,-0.481* (0.278)
high_court,-0.21157263642397395,Expands Expression,Expands Expression,0.17542476846238006,0.22779470780316002,spec_extended_1_spline,Mixed Outcome,,-0.212 (0.175)
j_ind_lag1,0.03989015463350056,Contracts Expression,Contracts Expression,0.28050813533374613,0.8869166879747961,spec_extended_1_spline,Mixed Outcome,,0.04 (0.281)
j_ind_lag1,0.36117270884073593,Expands Expression,Expands Expression,0.19777578320299807,0.06782427284086578,spec_extended_1_spline,Mixed Outcome,*,0.361* (0.198)
Intercept,-98.189277110956,Contracts Expression,Contracts Expression,88.72399587637418,0.26843130434174634,spec_extended_1_spline_interact,Mixed Outcome,,-98.189 (88.724)
Intercept,-25.66908314871538,Expands Expression,Expands Expression,51.82418595434136,0.6203806920888875,spec_extended_1_spline_interact,Mixed Outcome,,-25.669 (51.824)
"bs(year, df=4)[0]",127.87485714872888,Contracts Expression,Contracts Expression,89.67249131248133,0.1538622758763153,spec_extended_1_spline_interact,Mixed Outcome,,127.875 (89.672)
"bs(year, df=4)[0]",88.10467716644585,Expands Expression,Expands Expression,60.23105480632898,0.14352806539674492,spec_extended_1_spline_interact,Mixed Outcome,,88.105 (60.231)
"bs(year, df=4)[1]",93.28014382723532,Contracts Expression,Contracts Expression,89.34546248478115,0.29646736421585484,spec_extended_1_spline_interact,Mixed Outcome,,93.28 (89.345)
"bs(year, df=4)[1]",7.432287000118627,Expands Expression,Expands Expression,51.4967828477761,0.885243625986821,spec_extended_1_spline_interact,Mixed Outcome,,7.432 (51.497)
"bs(year, df=4)[2]",103.39372192273768,Contracts Expression,Contracts Expression,88.85613453158264,0.2445828488751921,spec_extended_1_spline_interact,Mixed Outcome,,103.394 (88.856)
"bs(year, df=4)[2]",30.44053382828579,Expands Expression,Expands Expression,52.03661545507434,0.55855916814992,spec_extended_1_spline_interact,Mixed Outcome,,30.441 (52.037)
"bs(year, df=4)[3]",92.69716200537145,Contracts Expression,Contracts Expression,89.49424664016443,0.3003005603788941,spec_extended_1_spline_interact,Mixed Outcome,,92.697 (89.494)
"bs(year, df=4)[3]",21.8939184032067,Expands Expression,Expands Expression,52.28109959211481,0.6753819624098902,spec_extended_1_spline_interact,Mixed Outcome,,21.894 (52.281)
v2x_polyarchy_lag1,181.40385875094142,Contracts Expression,Contracts Expression,166.6334718934885,0.2763126810549347,spec_extended_1_spline_interact,Mixed Outcome,,181.404 (166.633)
v2x_polyarchy_lag1,27.032713705019205,Expands Expression,Expands Expression,95.06784785548453,0.7761407926461186,spec_extended_1_spline_interact,Mixed Outcome,,27.033 (95.068)
"bs(year, df=4)[0]:v2x_polyarchy_lag1",-231.13273207049843,Contracts Expression,Contracts Expression,185.12714676377772,0.21184506410839676,spec_extended_1_spline_interact,Mixed Outcome,,-231.133 (185.127)
"bs(year, df=4)[0]:v2x_polyarchy_lag1",-100.38834046589491,Expands Expression,Expands Expression,111.9447874140402,0.3698435021902199,spec_extended_1_spline_interact,Mixed Outcome,,-100.388 (111.945)
"bs(year, df=4)[1]:v2x_polyarchy_lag1",-173.70228785128842,Contracts Expression,Contracts Expression,162.6384373525916,0.285508206473445,spec_extended_1_spline_interact,Mixed Outcome,,-173.702 (162.638)
"bs(year, df=4)[1]:v2x_polyarchy_lag1",-3.4574685247491295,Expands Expression,Expands Expression,92.57476421902923,0.9702076522947237,spec_extended_1_spline_interact,Mixed Outcome,,-3.457 (92.575)
"bs(year, df=4)[2]:v2x_polyarchy_lag1",-188.52395083248746,Contracts Expression,Contracts Expression,167.951594858073,0.261654245282829,spec_extended_1_spline_interact,Mixed Outcome,,-188.524 (167.952)
"bs(year, df=4)[2]:v2x_polyarchy_lag1",-33.031125337983084,Expands Expression,Expands Expression,95.79347609972766,0.7302326873565682,spec_extended_1_spline_interact,Mixed Outcome,,-33.031 (95.793)
"bs(year, df=4)[3]:v2x_polyarchy_lag1",-177.44761556822363,Contracts Expression,Contracts Expression,167.52932031126812,0.2895071844220226,spec_extended_1_spline_interact,Mixed Outcome,,-177.448 (167.529)
"bs(year, df=4)[3]:v2x_polyarchy_lag1",-22.82512396794475,Expands Expression,Expands Expression,95.91358945744986,0.8118997766495186,spec_extended_1_spline_interact,Mixed Outcome,,-22.825 (95.914)
wdj_expression_lag1,0.5166472720905633,Contracts Expression,Contracts Expression,0.5072209400777763,0.3084003741364778,spec_extended_1_spline_interact,Mixed Outcome,,0.517 (0.507)
wdj_expression_lag1,0.39098239492010883,Expands Expression,Expands Expression,0.3047759234549339,0.1995439413533,spec_extended_1_spline_interact,Mixed Outcome,,0.391 (0.305)
v2jureform_lag1,0.20486993692474753,Contracts Expression,Contracts Expression,0.23323861790891165,0.3797426520244085,spec_extended_1_spline_interact,Mixed Outcome,,0.205 (0.233)
v2jureform_lag1,-0.2017869543779688,Expands Expression,Expands Expression,0.1803047533747088,0.2630787788343798,spec_extended_1_spline_interact,Mixed Outcome,,-0.202 (0.18)
v2jureview_lag1,-0.2744822616270798,Contracts Expression,Contracts Expression,0.3632169894965291,0.4498304335554617,spec_extended_1_spline_interact,Mixed Outcome,,-0.274 (0.363)
v2jureview_lag1,0.5479461962581886,Expands Expression,Expands Expression,0.34572581795206625,0.11298554182167415,spec_extended_1_spline_interact,Mixed Outcome,,0.548 (0.346)
legal_common,0.6120593390294413,Contracts Expression,Contracts Expression,0.48958817376841995,0.21124424778948736,spec_extended_1_spline_interact,Mixed Outcome,,0.612 (0.49)
