spec,sample,high_court_value,n_obs,log_likelihood,aic,bic,pseudo_r2,base_category
spec_extended_4,high_court_1,1,296,-274.1770555744681,580.3541111489362,639.3998624181212,0.052351404363048415,Mixed Outcome
spec_extended_4,high_court_0,0,529,-471.07835877384525,974.1567175476905,1042.4925324574233,0.143575551463354,Mixed Outcome
