,Intercept,wdj_expression_lag1,v2jureform_lag1
207,1.0,0.907407407,1.838
208,1.0,0.907407407,0.985
209,1.0,0.0,-1.325
210,1.0,0.0,-0.282
211,1.0,0.0,-0.494
212,1.0,0.0,-0.381
213,1.0,0.0,-0.381
214,1.0,0.0,-0.292
215,1.0,0.0,-0.071
216,1.0,0.0,0.074
217,1.0,0.736111111,-0.455
218,1.0,0.736111111,-0.423
219,1.0,0.0,0.838
220,1.0,0.0,1.098
221,1.0,0.0,0.431
222,1.0,0.0,0.019
223,1.0,0.0,0.019
224,1.0,0.533333333,0.019
225,1.0,0.533333333,0.019
226,1.0,0.359477124,0.019
227,1.0,0.579365079,0.213
228,1.0,0.583979328,0.213
229,1.0,0.583979328,0.213
230,1.0,0.55308642,0.25
231,1.0,0.55308642,0.25
232,1.0,0.55308642,0.25
233,1.0,0.55308642,-1.324
234,1.0,0.559178744,-3.194
235,1.0,0.559178744,-3.12
236,1.0,0.559178744,-2.868
237,1.0,0.449074074,-1.871
238,1.0,0.449074074,-1.622
239,1.0,0.259259259,-1.622
240,1.0,0.450292398,-0.184
241,1.0,0.0,-1.477
242,1.0,0.0,-1.367
243,1.0,0.555555556,-1.823
244,1.0,0.0,-0.047
245,1.0,0.0,-0.047
246,1.0,0.0,-0.047
247,1.0,0.305555556,-0.821
248,1.0,0.305555556,-0.045
249,1.0,0.458333333,-0.163
250,1.0,0.0,0.384
251,1.0,0.0,2.345
252,1.0,0.0,1.575
253,1.0,0.0,1.575
254,1.0,0.0,1.575
255,1.0,0.0,1.575
256,1.0,0.0,1.575
257,1.0,0.0,1.575
258,1.0,0.0,1.575
259,1.0,0.0,1.575
260,1.0,0.0,1.575
261,1.0,0.0,1.575
262,1.0,0.0,1.575
263,1.0,0.0,1.575
264,1.0,0.0,1.807
265,1.0,0.0,0.591
266,1.0,0.0,0.591
267,1.0,0.0,0.591
268,1.0,0.0,0.591
269,1.0,0.0,0.845
270,1.0,0.0,0.636
271,1.0,0.0,0.685
272,1.0,0.402777778,1.329
273,1.0,0.402777778,1.027
274,1.0,0.402777778,0.221
275,1.0,0.402777778,0.221
276,1.0,0.0,-1.497
277,1.0,0.0,0.902
278,1.0,0.0,-0.358
279,1.0,0.0,-1.474
280,1.0,0.0,-0.054
281,1.0,0.0,-0.186
282,1.0,0.0,1.336
283,1.0,0.678571429,0.064
284,1.0,0.678571429,1.088
285,1.0,0.0,0.582
286,1.0,0.0,0.582
287,1.0,0.0,0.582
288,1.0,0.0,0.607
289,1.0,0.0,0.607
290,1.0,0.0,0.937
291,1.0,0.0,0.694
292,1.0,0.0,0.694
293,1.0,0.0,-0.171
294,1.0,0.0,-0.171
295,1.0,0.0,-0.171
296,1.0,0.0,-0.171
297,1.0,0.0,0.737
298,1.0,0.0,0.277
299,1.0,0.0,0.279
300,1.0,0.0,0.279
