,Intercept,wdj_expression_lag1,v2jupack_lag1,v2x_polyarchy_lag1,v2jureview_lag1,legal_common,legal_civil,high_court,j_ind_lag1
102,1.0,0.0,-2.099,0.131,1.087,0.0,0.0,0.0,-0.632
103,1.0,0.0,0.415,0.227,-1.255,0.0,1.0,0.0,-0.59
104,1.0,0.0,0.415,0.226,-0.799,0.0,1.0,0.0,-0.95
108,1.0,0.32748538,-0.157,0.4,0.265,1.0,0.0,1.0,-0.751
117,1.0,0.0,1.389,0.885,1.057,0.0,1.0,1.0,1.789
121,1.0,0.0,1.597,0.883,1.057,0.0,1.0,0.0,2.153
127,1.0,0.62962963,1.597,0.868,1.057,0.0,1.0,0.0,2.153
135,1.0,0.0,1.092,0.843,1.784,0.0,1.0,1.0,1.7
137,1.0,0.0,1.092,0.843,1.784,0.0,1.0,1.0,1.7
138,1.0,0.0,1.092,0.843,1.784,0.0,1.0,1.0,1.7
139,1.0,0.0,1.092,0.85,1.784,0.0,1.0,0.0,2.156
144,1.0,0.393939394,0.858,0.738,1.784,0.0,1.0,1.0,-0.062
149,1.0,0.494152047,-0.019,0.45,1.784,0.0,1.0,1.0,-0.758
151,1.0,0.447089947,0.829,0.434,1.784,0.0,1.0,1.0,-1.293
152,1.0,0.0,0.866,0.241,0.764,0.0,1.0,0.0,-2.054
153,1.0,0.0,0.866,0.232,0.764,0.0,1.0,0.0,-2.054
154,1.0,0.0,0.372,0.229,0.764,0.0,1.0,0.0,-1.597
155,1.0,0.873015873,0.372,0.23,0.764,0.0,1.0,0.0,-1.597
156,1.0,0.873015873,0.372,0.234,0.764,0.0,1.0,0.0,-1.597
157,1.0,0.873015873,0.372,0.242,0.764,0.0,1.0,0.0,-1.597
158,1.0,0.873015873,1.401,0.232,0.764,0.0,1.0,1.0,-1.902
159,1.0,0.0,1.467,0.427,1.883,0.0,0.0,0.0,1.908
160,1.0,0.0,1.72,0.425,1.883,0.0,0.0,0.0,1.908
161,1.0,0.0,1.241,0.524,1.883,0.0,0.0,0.0,1.542
162,1.0,0.0,1.241,0.539,1.883,0.0,0.0,0.0,1.542
163,1.0,0.0,1.241,0.539,1.883,0.0,0.0,0.0,1.542
164,1.0,0.777777778,1.241,0.534,1.883,0.0,0.0,0.0,1.542
165,1.0,0.777777778,1.241,0.512,1.883,0.0,0.0,0.0,1.802
166,1.0,0.851851852,1.241,0.496,1.883,0.0,0.0,0.0,1.594
167,1.0,0.851851852,1.241,0.501,1.883,0.0,0.0,0.0,1.594
168,1.0,0.851851852,1.567,0.57,1.883,0.0,0.0,0.0,1.402
169,1.0,0.851851852,1.567,0.557,1.883,0.0,0.0,1.0,1.967
170,1.0,0.0,-0.055,0.496,1.134,0.0,0.0,0.0,1.085
171,1.0,0.0,-0.055,0.614,1.134,0.0,0.0,0.0,1.085
172,1.0,0.0,-0.055,0.568,1.134,0.0,0.0,0.0,1.085
173,1.0,0.0,-0.369,0.501,1.134,0.0,0.0,1.0,1.09
