,outcome
799,2
800,1
801,0
802,0
803,2
804,0
805,2
806,2
807,2
808,2
809,2
810,2
811,1
812,2
813,1
814,2
815,2
816,2
817,2
818,2
819,1
820,0
821,2
822,2
823,2
824,2
825,2
826,2
827,1
828,2
829,2
830,2
831,2
832,0
833,2
834,1
835,2
836,0
837,2
838,1
839,0
840,2
841,0
842,0
843,1
844,0
845,2
846,2
847,2
848,2
849,0
850,2
851,2
852,0
853,0
854,2
855,0
856,2
857,0
858,0
859,2
860,1
861,1
862,2
863,2
864,1
865,2
866,0
867,1
868,1
869,0
870,2
871,0
872,2
873,2
874,0
875,1
876,2
877,1
878,2
879,0
880,0
881,2
882,2
883,0
884,2
885,0
886,1
887,2
888,2
889,1
890,1
891,0
892,2
893,1
894,2
895,2
896,2
897,1
898,0
899,1
900,2
901,2
902,0
903,2
904,0
905,0
906,0
907,2
908,2
909,2
910,1
911,2
912,2
913,2
914,2
915,2
916,1
917,2
918,0
919,0
920,1
921,2
922,2
923,1
924,2
925,0
926,1
927,2
928,2
929,2
930,0
931,1
932,1
933,2
934,2
935,0
936,2
937,1
938,0
939,0
940,1
941,2
942,0
943,1
944,2
945,2
946,0
947,1
948,0
949,2
950,2
951,1
952,2
953,2
954,0
955,2
956,2
957,2
958,1
959,2
960,0
961,2
962,0
963,2
964,2
965,2
966,2
967,2
968,0
969,1
970,2
971,2
972,0
973,0
974,0
975,2
976,2
977,0
978,2
979,2
980,1
981,0
982,2
983,2
984,1
985,2
986,2
987,1
988,1
989,0
990,2
991,0
992,2
993,0
994,0
995,1
996,2
997,2
998,0
999,2
1000,2
1001,2
1002,2
1003,2
1004,2
1005,0
1006,2
1007,0
1008,1
1009,0
1010,1
1011,0
1012,2
1013,2
1014,2
1015,1
1016,1
1017,2
1018,0
1019,2
1020,0
1021,0
1022,1
1023,0
1024,2
1025,0
1026,0
1027,1
1028,2
1029,2
1030,0
1031,2
1032,2
1033,2
1034,0
1035,2
1036,2
1037,2
1038,0
1039,2
1040,2
1041,2
1042,1
1043,1
1044,2
1045,0
1046,2
1047,0
1048,2
1049,2
1050,0
1051,2
1052,0
1053,2
1054,1
1055,2
1056,2
1057,2
1058,0
1059,2
1060,2
1061,2
1062,1
1063,1
1064,1
1065,1
1066,1
1067,1
1068,2
1069,2
1070,2
1071,1
1072,2
1073,2
1074,2
