model,variable,contrast,low_value,high_value,outcome,estimate,estimate_pp,ci_low,ci_high,ci_low_pp,ci_high_pp,n_sim,ci_level
spec_p_reform,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Mixed Outcome,0.030252456363262167,3.0252456363262166,0.003937159654297984,0.04746240827267486,0.39371596542979836,4.746240827267486,1000,0.95
spec_p_reform,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Contracts Expression,0.008568074002021881,0.8568074002021882,-0.02948341945120607,0.09598803660510374,-2.9483419451206068,9.598803660510374,1000,0.95
spec_p_reform,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Expands Expression,-0.038820530365284045,-3.8820530365284043,-0.11899432216672948,0.015252858507737258,-11.899432216672947,1.5252858507737257,1000,0.95
spec_p_reform,v2jureform_lag1,mean_to_mean_plus_1sd,0.17064000000000001,0.9510175925731666,Mixed Outcome,0.03752127115554999,3.752127115554999,-0.02801131188408828,0.09125253541959753,-2.801131188408828,9.125253541959752,1000,0.95
spec_p_reform,v2jureform_lag1,mean_to_mean_plus_1sd,0.17064000000000001,0.9510175925731666,Contracts Expression,-0.04107453428246968,-4.107453428246968,-0.16368135167748488,0.06849640693346276,-16.368135167748488,6.849640693346276,1000,0.95
spec_p_reform,v2jureform_lag1,mean_to_mean_plus_1sd,0.17064000000000001,0.9510175925731666,Expands Expression,0.0035532631269196975,0.35532631269196974,-0.08917860531074479,0.14919887313460023,-8.917860531074478,14.919887313460023,1000,0.95
spec_p_attack,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Mixed Outcome,0.030123246317669508,3.0123246317669508,-0.0005493937525837186,0.04632258344837269,-0.05493937525837186,4.632258344837268,1000,0.95
spec_p_attack,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Contracts Expression,0.008564113195779727,0.8564113195779728,-0.02771927898161017,0.09147739354261979,-2.7719278981610174,9.14773935426198,1000,0.95
spec_p_attack,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Expands Expression,-0.03868735951344923,-3.8687359513449233,-0.11588700145786796,0.02017549222946078,-11.588700145786795,2.017549222946078,1000,0.95
spec_p_attack,v2jupoatck_lag1,mean_to_mean_plus_1sd,0.4976775757575758,1.5878895208567085,Mixed Outcome,0.02736446271905147,2.736446271905147,-0.07945646653114492,0.08780459011592674,-7.945646653114492,8.780459011592674,1000,0.95
spec_p_attack,v2jupoatck_lag1,mean_to_mean_plus_1sd,0.4976775757575758,1.5878895208567085,Contracts Expression,-0.015834762420309356,-1.5834762420309356,-0.1787238648240909,0.13798130091917415,-17.872386482409087,13.798130091917415,1000,0.95
spec_p_attack,v2jupoatck_lag1,mean_to_mean_plus_1sd,0.4976775757575758,1.5878895208567085,Expands Expression,-0.011529700298742118,-1.1529700298742118,-0.13133736857759554,0.16369014590739128,-13.133736857759553,16.369014590739127,1000,0.95
spec_p_reform_decision,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Mixed Outcome,0.03572042722502842,3.5720427225028417,-0.0029476316869000057,0.05095476170219292,-0.2947631686900006,5.0954761702192926,1000,0.95
spec_p_reform_decision,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Contracts Expression,-0.004179463921305019,-0.4179463921305019,-0.0354477490768041,0.045803299316226655,-3.54477490768041,4.580329931622665,1000,0.95
spec_p_reform_decision,wdj_press_lag1,mean_to_mean_plus_1sd,0.05058832187757575,0.26256954131625,Expands Expression,-0.03154096330372341,-3.154096330372341,-0.07504485916021433,0.03305383167159427,-7.504485916021434,3.305383167159427,1000,0.95
spec_p_reform_decision,v2jureform_lag1,mean_to_mean_plus_1sd,0.17064000000000001,0.9510175925731666,Mixed Outcome,0.033057302922533414,3.3057302922533416,-0.03217890266116251,0.08621625251659032,-3.217890266116251,8.621625251659031,1000,0.95
spec_p_reform_decision,v2jureform_lag1,mean_to_mean_plus_1sd,0.17064000000000001,0.9510175925731666,Contracts Expression,-0.042090059912619444,-4.209005991261945,-0.15371918147982272,0.07431808088065979,-15.371918147982273,7.431808088065979,1000,0.95
spec_p_reform_decision,v2jureform_lag1,mean_to_mean_plus_1sd,0.17064000000000001,0.9510175925731666,Expands Expression,0.009032756990086028,0.9032756990086028,-0.09476496069842723,0.11693796057597913,-9.476496069842723,11.693796057597913,1000,0.95
